제목,가사,가수,발매일,좋아요수,장르
참새와 허수아비,"나는 나는 외로운
지푸라기 허수아비
너는 너는 슬픔도
모르는 노란 참새
들판에 곡식이 익을 때면
날 찾아 날아온 널
보내야만 해야 할
슬픈 너의 운명
훠이 훠이 가거라
산너머 멀리 멀리
보내는 나의 심정
내 님은 아시겠지
석양에 노을이 물들고
들판에 곡식이 익을 때면
노오란 참새는
날 찾아 와주겠지
훠이 훠이 가거라
산너머 멀리 멀리
보내는 나의 심정
내 님은 아시겠지
내 님은 아시겠지",조정희,1997.12,131,성인가요/트로트
나쁜남자,"Yeah, we present to you
A whole new style

Knock em out the box
yeah let’s bounce
Pump it up let’s blaze it up
Round one, round two
Just kick back ready for the show
Let’s take em down

어떻게 너 나를 피해가니
그런 나쁜남자 되지마
울고 웃던 우리의 사랑이
정말 이것밖에 안되니

그 사람의 배려 속에서
넌 뭐든 가질 수 있다는 걸 알아
그게 너를 위해 너 행복하면
이젠 깨끗이 사라져 줄께

여기까지 왔잖아 많이 힘들었잖아
밤새도록 술에 취해 울고 또 울어 버렸어
여기가 끝이라도 다신 볼수없어도
서로 사랑했던 추억만은 간직해 줄래

우리기억해 기억해
사랑했었던걸 모두 기억해
힘든이별도 아픔도 울며
모두다 감춰주는 사랑
다신오지마 울지마
우리사랑은 멈춰버렸어
보고 싶어지면 그 사람을 안아줘

One two, let’s begin
With a whole new style
We gonna take the win
Three four, knock down the floor
Now bump the brakes
Move it out fo sho
Five six, back in the mix
Just tear the roof off
you just can’t fix
Seven eight, now back together now
Ready for the beat to drop
let’s take em down

가지마 내 곁을 떠나지마
그런 나쁜남자 되지마
아껴주던 우리의 사랑이
고작 이것밖에 안되니
그 사람의 체온 속에서
넌 평생 웃으며 산다는 걸 알아
그게 너를 위해 너
행복하면 멀리 영원히 사라져 줄께

여기까지 왔잖아 많이 힘들었잖아
밤새도록 술에 취해 울고 또 울어 버렸어
여기가 끝이라도 다신 볼수없어도
서로 사랑했던 추억만은 간직해 줄래

우리기억해 기억해
사랑했었던걸 모두 기억해
힘든이별도 아픔도 울며
모두다 감춰주는 사랑
다신오지마 울지마
우리사랑은 멈춰버렸어
보고 싶어지면 그 사람을 안아줘",LPG,2005.08.10,164,성인가요/트로트
우리 만나요 처음 만난 그 곳에서,"한잎두잎 떨어지는 낙엽들이
소복소복 쌓이면
그리움만 하얗게 밀려와서
내 마음만 서러워져
별빛내린 창가에서 눈물지며
너의모습 기다려도
보이는건 휘휘돌다 날아가버린
외로운 기러기 뿐
너와 나 이슬같은사랑이
다시 또 맺혀져 질까
다시 또 맺혀져 질까
사랑의 발자욱들은
너무도 아픔이어라
걸음걸음 눈물 맺혀와도
너 떠난길 따라가고 파
남 몰래 기다리는 마음속에서
너와 내가 있어요
아름다운 그 곳에서
우리 만나요
처음만난 그 곳에서

너와 나 이슬같은 사랑이
다시 또 맺혀져 질까
다시 또 맺혀져 질까
사랑의 발자욱들은
너무도 아픔이어라
걸음걸음 눈물 맺혀와도
너 떠난길 따라가고 파
남 몰래 기다리는 마음속에서
너와 내가 있어요
아름다운 그 곳에서
우리 만나요
처음만난 그 곳에서
처음만난 그 곳에서
처음만난 그 곳에서",백영규,1991.11.01,117,성인가요/트로트
종점,"너를 사랑할땐
한없이 즐거웠고
버림을 받았을땐
끝없이 서러웠다
아련한 추억속에
미련도 없다마는
너무도 빨리 온
인생의 종점에서
싸늘하게 싸늘하게
식어만 가는
아 아 내 청춘 꺼져가네

너를 사랑할땐
목숨을 걸었었고
버림을 받았을땐
죽음을 생각했다
지나간 내 한평생
미련도 없다마는
너무도 짧았던
내 청춘 종점에서
속절없이 속절없이
꺼져만 가는
아 아 한많은 내 청춘",최희준,1988.08,145,성인가요/트로트
나는 외로움 그대는 그리움,"나는 외로움 나는 떠도는 구름
나는 끝없는 바다위를 방황하는 배
그댄 그리움 그댄 고독한 등대
그댄 저 높은 밤하늘에 혼자 떠 있는 별
사랑하고 싶지만 그대는 아무것도
원하지 않았어 그것이 내마음을 아프게 해
가까이 가면 갈수록 자꾸만 멀어지는
당신의 모습을 바라보며 눈물만 흘리네
나는 외로움 그댄 고독한 등대
그댄 끝없는 동경속에 나를 잠들게 해

나는 외로움 나는 떠도는 구름
나는 끝없는 바다위를 방황하는 배
그댄 그리움 그댄 고독한 등대
그댄 저 높은 밤하늘에 혼자 떠 있는 별
사랑하고 싶지만 그대는 아무것도
원하지 않았어 그것이 내마음을 아프게 해
가까이 가면 갈수록 자꾸만 멀어지는
당신의 모습을 바라보며 눈물만 흘리네
나는 외로움 그댄 고독한 등대
그댄 끝없는 동경속에 나를 잠들게 해",장윤정,2006.04.05,202,성인가요/트로트
숲바다 섬마을,"파도 소리 들려오네 아련하게 밀려오네
노래 소리 들려오네 철새들의 노래 소리
섬 너머 노을이 붉게 물들면
기러기떼 울며 가고
두 손에 닿을듯한 별들을 따서
그대에게 드릴꺼야
숲바다 섬마을 살고싶네
숲바다 섬마을 가고싶네

봄이 오면 꽃 피고 여름이면 초록 바다
가을이면 잎새 지고 겨울이면 하얀 나라
수정 같이 해맑은 바람 불어와 들꽃 향기 날리우고
정 들지 못하는 도시를 떠나 그대와 살고 싶어
숲바다 섬마을 살고싶네
숲바다 섬마을 가고싶네

숲바다 섬마을 에 밤이 깊으면 모닥불을 피워놓고
이 밤이 새도록 그대와 함게 사랑을 태울꺼야
숲바다 섬마을 살고싶네 숲바다 섬마을 가고싶네",윤수일,2006.04.25,170,성인가요/트로트
아득히 먼 곳,"1.찬`바람 비껴불어 이르는 곳에 마음을 두고 온것도 아니라오 먹구름 흐트러져 휘도는 곳에 미련을 두`고온 @것도 아니라오 @하아~아~ 어쩌다 생각이 나면 그리운 사람있어 밤을 지새고 가만히 생`각하면 아득히 먼 곳이라 허전한 이내 맘(엔)에 눈물 적`시네 ,,,,,,,,,,,2. 황`금빛 저녁노을 내리는 곳에 사`랑이 머무는 것도 아니라오 호숫가 푸른 숲속 아늑한 곳에 내 님이 머무는 것~~~네 하~~~네. (524)",김희진,2006.07.10,64,성인가요/트로트
목마른 사슴,"당신이 앞에 있으면

왜 나는 울고 싶은지

한마디 듣고 싶은 그 한마디에
가슴은 까맣게 타네요

목마른 사슴처럼 서러운 마음
사랑한다고 사랑한다고
왜 말을 못해요 왜 말을 못해요
이렇게 가슴은 타들어 가는데

당신만 앞에 있으면

왜 나는 바보가 되는지

맴돌다 맴돌다가 발길 돌리는
내 자신 내가 미워요

미칠듯 그리움에 죽을것 같아
사랑한다고 사랑한다고
왜 말을 못해요 왜 말을 못해요
이렇게 가슴은 까맣게 타는데

목마른 사슴처럼 서러운 마음
사랑한다고 사랑한다고
왜 말을 못해요 왜 말을 못해요
이렇게 가슴은 타들어 가는데",장윤정,2006.09.25,149,성인가요/트로트
돌아와 주오,"1. @저 한` 조각 구름이 저 하`늘에 맴돌`때 내 마음은 @슬`펐다오 내 마음은 @울~후울었다오 그건 말없이 떠나버린 님 때`문일거야 그`건 말없이 떠나버린 (임)님 @때문일거야 돌아와 주오 돌`아와 주`오 보고 싶은 내님`아 ,,,,,,,,2. 저~~~~내 (마음)가슴은 슬~~~내 (마음)가슴은 울~~~건 못잊을 첫사랑에 정 때문일거야 그건 못잊을 첫사랑에 정 때~~~~아.",진성,2001.01.01,12,성인가요/트로트
문밖에 있는 그대,"그대 사랑 했던 건
오래전의 얘기지
노을처럼 피어나
가슴 태우던 사랑
그대 떠나 가던 밤
모두 잊으라시며
마지막 눈길마저
외면하던 사람이
초라한 모습으로 다시 돌아와
오늘은 거기서 울지만
그렇게 버려둔 내 마음 속에
어떻게 사랑이 남아요
한 번 떠난 사랑은
내 맘엔 없어요
추억도 내겐 없어요
문 밖에 있는 그대
눈물을 거둬요
가슴 아픈 사랑은
이제는 잊어요

초라한 모습으로 다시 돌아와
오늘은 거기서 울지만
그렇게 버려둔 내 마음 속에
어떻게 사랑이 남아요
한 번 떠난 사랑은
내 맘엔 없어요
추억도 내겐 없어요
문 밖에 있는 그대
눈물을 거둬요
가슴 아픈 사랑은
이제는 잊어요",진시몬,2006.11.17,103,성인가요/트로트
분다 분다,"분다. 분다. 불어온다. 바람이 분다.

깜짝 놀랄 새로운 바람이...



이제나 볼까. 저제나 볼까

아무리 기다려봐도

내나이 벌써 사십줄이야.

청춘인줄 알았는데...

인생의 한번은 불어온다고

모두들 기다리지만...

어차피 불어올 바람이라면,

거칠게 불어와 다오.

분다. 분다. 불어온다. 바람이 분다.

깜짝 놀랄 새로운 바람이...



- 간주 -



이제나 볼까. 저제나 볼까

아무리 기다려봐도

내나이 벌써 사십줄이야.

청춘인줄 알았는데...

인생의 한번은 불어온다고

모두들 기다리지만...

어차피 불어올 바람이라면,

거칠게 불어와 다오.

분다. 분다. 불어온다. 바람이 분다.

깜짝 놀랄 새로운 바람이...



분다. 분다. 불어온다. 바람이 분다.

깜짝 놀랄 새로운 바람이",장계현,2009.03.01,54,성인가요/트로트
젊은 초원,"이슬에 젖는 넓은 초원에
샛별 바라보며 피어나는
이름 모를 꽃송이 새파란 잔디위에
아침햇살 눈부실때
하늘 멀리 흘러가는 흰구름에
젊은 꿈 실어보네
초원은 푸르고 마음도 푸르니
가슴속에 메아리 흘러서
끝없이 달려가는
젊은 초원은 나의 마음

이슬에 젖는 넓은 초원에
샛별 바라보며 피어나는
이름 모를 꽃송이 새파란 잔디위에
아침햇살 눈부실때
하늘 멀리 흘러가는 흰구름에
젊은 꿈 실어보네
초원은 푸르고 마음도 푸르니
가슴속에 메아리 흘러서
끝없이 달려가는
젊은 초원은 나의 마음",남진,2009.08.03,71,성인가요/트로트
내영혼의 히로인,"헝클어진 운명의 끈은 바로잡지 못하고
사랑했던 그사람을 잃어 버린채
돌이킬수 없는 남이 되어 원점에 난 서있네

이제는 그리워해도 안되겠지
아~이제는 만나서도 안되겠지
가슴속에 묻어둔 가슴속에 묻어둔 내영혼의 히로인
아~~~~아~~~~~아~~~~아~아~~~~

헝클어진 운명의 끈은 바로잡지 못하고
사랑했던 그사람을 잃어 버린채
돌이킬수 없는 남이 되어 원점에 난 서있네

다시는 그리워해도 안되겠지
아~다시는 만나서도 안되겠지
가슴깊이 묻어둔 가슴깊이 묻어둔 내영혼의 히로인",남진,2009.08.03,317,성인가요/트로트
수은등,"어스름 저녁 길에 하나 둘
수은등 꽃이 피면은
그대와 단 둘이서 거닐던
이 길을 서성입니다
수은등 은은한 빛 변함은 없어도
당신은 변했구려 보이질 않네
아~ 아~ 수은등 불빛 아래
이 발길은 떠날 줄 물라

어두운 밤거리에 하나 둘
오색 불 깜박거리면
그대의 웃음소리 들려올 듯
내 가슴은 설레이네
바람 부는 이 거리는 변함이 없건만
당신은 변했구려 보이질 않네
아~ 아~ 오색불 깜빡이는
이 거리를 잊으셨구려",김연자,2009.12.23,175,성인가요/트로트
유리벽 사랑,"처음으로 느껴보았던
당신의 사랑 앞에서
그리움과 외로움이
낙엽처럼 쌓여만 가네
더 이상은 갈 수 없는
슬픈 사랑이었다면
차라리 맺지 말지
정은 왜 주고
아 유리벽 사랑
내 어이 너를 잊을 수 있나
가슴으로 느껴보았던
뜨거운 사랑 앞에서
내 모든 걸 다 주었다
아낌없이 다 주었는데
더 이상은 갈 수 없는
슬픈 사랑이었다면
이제는 떠나야지
아무 말 없이
아 타인의 사랑
내 어이 너를 잊을 수 있나",박진도,2010.03.26,558,성인가요/트로트
올래 (Remix),"올래 올래
올래 올래
I see I see
눈빛 속 너의 눈빛 속에서
나를 느꼈지
그 마음을 이 마음을
너를 갖고 싶다는 나의 마음을
I love you
한다는 말을 하고 싶어
그러고 싶어
But 혹시 니가 거부 할까봐
싫어 할까봐 말 할 수 없어
올래 올래
살랑 살랑 불어오는 바람타고 왔나요
살랑 살랑
내 맘을 흔들흔들 흔들리게 해놓고
알고도 알고도 알고도 모른척 한다면
너무나 얄미운 당신
올래 올래
올래 올래 올래
튕기지 말고 내게 다가올래
니 맘에 들었다면
날 한번쯤 안아 봐도 괜찮아
올래 올래
올래 올래 올래
멋지게 후끈하게 다가올래
살며시 입 맞춰도
난 모른 척 눈감아 줄게
I see I see
눈빛 속 너의 눈빛 속에서
나를 느꼈지
그 마음을 이 마음을
너를 갖고 싶다는 나의 마음을
I love you
한다는 말을 하고 싶어
그러고 싶어
But 혹시 니가 거부 할까봐
싫어 할까봐 말 할 수 없어
그럴수 없어 헤아려줘
그럴 수밖에 없는 내 마음을
Come on Baby My Baby
힐끔힐끔 바라보는 그대눈빛 알지만
힐끔힐끔
모른 척 돌아서면 애가타서 어쩌나
하지만 하지만 하지만 후회는 안해요
내 맘에 쏙 드는 당신
올래 올래
올래 올래 올래
튕기지 말고 내게 다가올래
니 맘에 들었다면
날 한번쯤 안아 봐도 괜찮아
올래 올래
올래 올래 올래
멋지게 후끈하게 다가올래
살며시 입 맞춰도
난 모른 척 눈감아 줄게
올래 올래 올래
올래 올래 올래
올래 올래 올래
튕기지 말고 내게 다가올래
니 맘에 들었다면
날 한번쯤 안아 봐도 괜찮아
올래 올래
올래 올래 올래
멋지게 후끈하게 다가올래
살며시 입 맞춰도
난 모른 척 눈감아 줄게
올래 올래
올래 올래
오 올래 오 올래",장윤정,2010.06.08,194,성인가요/트로트
홍시,"생각이난다 홍시가 열리면 울엄마가 생각이난다
자장가 대신 젖가슴을 내주던 울엄마가 생각이난다
눈이오면 눈 맞을새라
비가오면 비젖을새라
험한세상 넘어 질새라
사랑땜에 울먹일새라
그리워진다 홍시가 열리면 울엄마가 그리워진다
눈에 넣어도 아프지도 않겠다던 울엄마가 그리워진다
생각이난다 홍시가 열리면 울 엄마가 생각이난다
회초리치고 돌아앉아 우시던 울 엄마가 생각이난다
바람불면 감기들새라
안먹어서 약해질새라
힘든세상 뒤쳐질새라
사랑땜에 아파할새라
그리워진다 홍시가 열리면 울 엄마가 그리워진다
생각만해도 눈물이 핑도는 울 엄마가 그리워진다",김연자,2011.05.03,167,성인가요/트로트
저 꽃 속에 찬란한 빛이,"어둠에 묻혀
흘러간 그 세월의 눈물은
사랑을 잃어
흩어진 옛사랑의 그림자
잊을 수 없어
미련에 사무치던 슬픔은
상처로 아픈
내 가슴 깊은 곳의 그리움
다시 한 번 돌아오라
눈물 없던 시절 그 노래여
찬란한 태양이 빛나는 거리
꽃피는 마음에 열리는 꿈길
사랑의 기쁨이 샘솟는 곳에
행복이 날개여 활짝 펴라
어둠에 묻혀
흘러간 그 세월의 눈물은
사랑을 잃어
흩어진 옛사랑의 그림자
잊을 수 없어
미련에 사무치던 슬픔은
상처로 아픈
내 가슴 깊은 곳의 그리움
다시 한 번 돌아오라
눈물 없던 시절 그 노래여
찬란한 태양이 빛나는 거리
꽃피는 마음에 열리는 꿈길
사랑의 기쁨이 샘솟는 곳에
행복이 날개여 활짝 펴라
찬란한 태양이 빛나는 거리
꽃피는 마음에 열리는 꿈길
사랑의 기쁨이 샘솟는 곳에
행복이 날개여 활짝 펴라
찬란한 태양이 빛나는 거리
꽃피는 마음에 열리는 꿈길
사랑의 기쁨이 샘솟는 곳에
행복이 날개여 활짝 펴라",임희숙,1980.07.01,77,성인가요/트로트
대찬인생,"박차고 태어나서
겁날게 뭐가있냐
깨지고 박살나도
제대로 한판붙어봐
딱한번 인생인데
기죽고 살지마라
가슴을 활짝펴고
멋있게 사는거야
세상만사 그런거지
가끔은 꼬일 때도 있지
소주한잔 걸치고 이렇게 소리쳐봐
한번죽지 두번죽냐 덤빌테면
모두 덤벼봐
깡으로 치자면
둘째가라면 섭섭해
한번뽑은 칼이라면
찔러야지 호박이라도
까지것 어떠냐 목숨한번 걸어봐
대차게 살기위해
이땅에 태어났다
실패를 하더라도
뼈빠지게 한번 살아봐
뛰는놈 머리위로
나는놈 있다지만
그런건 상관없어
오십보 백보니까
청춘이야 갔다지만
불같은 열정 없다지만
그렇다고 내인생
파김치 된건아냐
한번죽지 두번죽냐
덤빌테면 모두 덤벼봐
깡으로 치자면 둘째가라면 섭섭해
한번뽑은 칼이라면
찔러야지 호박이라도
까지것 어떠냐 목숨한번 걸어봐
까지것 어떠냐
목숨한번 걸어봐",박현빈,2011.11.23,191,성인가요/트로트
숨바꼭질 (Dance Ver.),"꼭꼭 숨어라 우리오빠야
갑자기와서 이별이래요
이별에 수갑채워놓고서
짜라짜라 짜짜 떠나가네요
사랑하는 나의오빠 가네요
짜라짜짜 오빠옆에서서
짜라짜짜 흔들흔들대며
웃어도보고 울어보고
오빠의 사랑만 원했지
짜라짜짜 째깍째깍째깍
짜라짜짜 흘러가는시간
난정말 몰라 몰라 슬퍼요
사랑해 사랑해 해놓고
오빠동생하제요
요랫다 조랫다
오빠가 정말정말미워요
갑자기와서 사랑이래요
사랑에 수갑채워놓고서
열쇠가없어 어쩔수없이
영원토록 오빠사랑해야한데요
갑자기와서 이별이래요
이별에 수갑채워놓고서
짜라짜라 짜짜 떠나가네요
사랑하는 나의오빠 가네요
hey man 요렇게 조렇게
아무리 애를써도 가질수가없는 사람
이렇게 저렇게 살다보면
시간이흘러가서 잊혀저
너도 알아 나도 알아
부질없는 사랑인걸
그래도 내가준 사랑만큼
오빠는 돌아올꺼야
사랑해 사랑해 해놓고
오빠동생하제요
요랫다 조랫다
오빠가 정말정말미워요
갑자기와서 사랑이래요
사랑에 수갑채워놓고서
열쇠가없어 어쩔수없이
영원토록 오빠사랑해야한데요
갑자기와서 이별이래요
이별에 수갑채워놓고서
짜라짜라 짜짜 떠나가네요
사랑하는 나의오빠 가네요
꼭꼭숨어라 우리오빠야
내가내가 찾으러 지금간다
꼭꼭숨어라 우리오빠야
머리카락 보일라 꼭꼭숨어라
갑자기와서 사랑이래요
사랑에 수갑채워놓고서
열쇠가없어 어쩔수없이
영원토록 오빠사랑해야한데요
갑자기와서 이별이래요
이별에 수갑채워놓고서
짜라짜라 짜짜 떠나가네요
사랑하는 나의오빠 가네요
사랑하는 나의오빠 가네요
짜짜라 짜짜 짜짜라짜
사랑하는 나의오빠 가네요",오로라,2012.04.12,545,성인가요/트로트
