제목,가사,가수,발매일,좋아요수,장르
가지마 (STAY) (Feat. twlv),"I don’t know why
But i keep fallin down
또다시 돌린 맘
처음 볼 때처럼 다시 만난다면
우리 둘은 다시 설렐 수 있을까
담배 연기처럼 사라진 bae
네 영혼에 취해 눈을 부릅뜨질 못해
우린 사랑하질 못해
사랑한다 해놓고도 사랑하질 못해
혹 너는 내게 돌아와 준다고
말해놓고 사라진다면
Don’t lie to me oh
Call me all night long
널 찾지만 날 찾진 마
넌 빨리 가 난 빨리 와
Girl 가지 마 Girl 가지 마
널 원해 난
사라지지 마
Girl 가지 마 제발 떠나지 마
내 손을 잡아봐 아직 놓긴 일렀어
Girl 가지 마 제발 떠나지 마
더는 사라지지 마 난 놓진 않았어
난 놓진 않았어
난 놓진 않았어
Every night 후회의 말로
가득 채운 방안은 너의 향기만
어느 날 아무런 말도
없이 날 두고 떠나버린 너지만
가지 말란 그 말은 의미 없다는걸
알지만 아직 난 널 못 보낼듯해
어린아이 마냥 떼쓰고 애원해도
다를 건 없겠지만
이렇게라도 난 널
Girl 가지 마 제발 떠나지 마
내 손을 잡아봐 아직 놓긴 일렀어
Girl 가지 마 제발 떠나지 마
더는 사라지지 마 난 놓진 않았어
난 놓진 않았어
난 놓진 않았어
난 놓진 않았어
난 놓진 않았어",D.Ark (디아크),2022.08.10,"1,092",랩/힙합
주모 (Feat. 박재범),"Ball so hard 황인범 스루패스
that shit cray (hey)
꼴리는 대로 살려고 만든 레이블
we TEAMPLAY (hey)
벌 만큼 벌어도 가장 아끼는 건
돈으로 못 사 mate
지구 반대편에다가 전해
두유노 김성경 이름 석자를 박지
당연히 공항은 인천
전지적 훌리건 시점
말씀 중에 죄송하지만
월클이 될 때까지는 못 멈춰
I came i saw i whut 넘치는 근본싵
집중해 다 이제부터 알게 될 거야
거리 아닌 높이의 차이
두유노 Squid Game
두유노 Zombie
두유노 BTS
두유노 갱냄
카니발 한 대 뽑고
Back by popular demand
차올라 (whut) 차올라 (whut)
시청 앞에 온 듯 당장
주모 샷다 내려 주모 주모 샷다
싹다 내려
주모 샷다 내려 주모 주모 샷다
싹다 내려
주모 샷다 내려 주모 주모 샷다
싹다 내려
주모 샷다 내려 주모 주모 샷다 싹다
주모 샷다 샷다 내려버리자
코 삐뚤어져 버리게
주목 아쉬웠단 그딴 멘트
나 못 참아 막차에 미련 버리게
Uno Dos Tres 하면은 네가 Cuatro
우릴 받들어 보이비 & Me
우리가 뭉친 힘
케인 그리고 손흥민
너 까칠하다간 사포
우린 티키티카 티키타카 팀플
근데 갠플하면 보기보다 난폭
쿨리발리 지워 버린 김민재의 나폴
리 대한민국 국뽕 한사바리 맛봄
너두 뿅가 마치 AJ Tracey
선팔 받은 기분 모름 말 말어
두유노 여정 윤
두유노 브로커
두유노 박찬욱
두유노 민재
카니발 한 대 뽑고
Back by popular demand
차올라 차올라
광화문앞에 온 듯 당장
주모 샷다 내려 주모 주모 샷다
싹다 내려
주모 샷다 내려 주모 주모 샷다
싹다 내려
주모 샷다 내려 주모 주모 샷다
싹다 내려
주모 샷다 내려 주모 주모 샷다 싹다
Do u know Jay Park
Do u know 박재범
Tell me do u know AOMG?
Do u know H1GHR MUSIC?
다 알겠지 이 씬을 정복했으니
Do u know WONSOJU
2019년부터 I told u
추진력이 남달라
정글에서 살아남아
때려 박아 나의 포부 like
Pushin’ P
You ain’t never pushin’ me
나한텐 갑질 불가
왜냐? 내가 항상 갑이지
Huh huh
성공의 비결이 뭔지
알려줘도 못 따라 해
Just go to bed
내일부터 다시 새로운
마음가짐으로 시작해
잘 되길 바래 foreal foreal
대신 날 못 이겨 skill for skill
내가 더 벌거야 bill for bill
끈기도 쩔어 yeah will for will
It’s like more love more
laughter MORE VISION
목적은 항상 명확해
I do that shit with precision
TEAMPLAY!",보이비,2022.09.01,849,랩/힙합
DJANGO,"두 눈가리개를 씌워
널 묻을 구덩이를 파내
벌써 one’s down, see ya
너넨 그 옷차림이 fit on
삶은 high low
죽음이 on the list
됐지, 각오는
My people
I know u knew
살아왔어 이제 할 일이 많아
꺼내 다시 다신 없어
This never miss
이미 knew I know
My life is dope
사람들은 Savage
Love is not allowed
Why u tryna so hard
They come and go
너의 주윌 check it
Nah he not bro
이 바닥에 반은 ho
뒤엔 널 노리는 Foe
돈에 편에 서는 Po
남아있지 않은 hope
질려 노란 미니언
발악일 뿐 now I know
Now I know what I gotta do
Gotta keep it g
Ya know
이미 knew I know
아무도 need no one no
나 혼자야 덤벼 Shoot I go
가루가 된 바닥 I just blow
The f--- outta 숨을 안 쉬는 코
흘려보낸 기억이 보여
멍해져 내 머릿속
그 목을 난 cut해 매일
너흰 결코 never know
선명한 그때 내 low
No, now even more
Smokin’ you up
I poke ya
죽여 난 like pro
칼을 들은 savage
얘넨 죄다 cappin’
What u do for
I’m gonna see my baby
Louis v from cage
A Bathing ape
내 package
I can’t do more say shit
Yeh, who wanna play it
세곌 달려 cabin
EU to the States
Me back to the game
박아버려 name
She wanna smoke
You know how it goes
여기 another dope
This b---- a ho
You know how it goes
Take her to the home
She wanna smoke
You know how it goes
여기 another dope",루피 (Loopy),2022.11.10,656,랩/힙합
LIL BABY (Feat. KHAN),"Lil baby 걱정 마 무조건 벌어 벌어 GUAP
이럴줄 몰랐다니 상황역전 얼랄라
UNLOCK THE SWAG LIKE SWAE UNLOCK
UNLOCK THE SWAG LIKE SWAE UNLOCK
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
앵벌이 없이 늘려가는 내 돈 벌이
어떻게 안 믿어 현실이 되는데 내 소설이
난 뜨거운 걸 뱉어주지
내가 나인 것을 다시 확인해
KG I be flowin' rhymin' harder
pop pop poppin tags
충곤 됐어 핑계도 됐어
do the dash stack some racks
spend dem checks uh
KG ON FIRE 분위기 과열
U WANNA RAP? YE YE
THROUGH THE WIRE
기본 근본 뭣도 없는 새끼
말을 걸지 말아 알겠어?
돈 몇 푼 갖고 나를 간보다니
그게 되니 얄팍해서
나는 가끔 재수없는 새끼
어쩌라고 누구라고 안그래?
성공에 미친 새끼 KG 어쩌라고
내가 나를 하는데
Lil baby 걱정 마 무조건 벌어 벌어 GUAP
이럴줄 몰랐다니 상황역전 얼랄라
UNLOCK THE SWAG LIKE SWAE UNLOCK
UNLOCK THE SWAG LIKE SWAE UNLOCK
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
머릿속에 그렸던 그림들을 이뤄가
내가 이젠
애초에 포기란 건 생각 안 했어
힘껏 목에 세운 내 핏대
그때 네가 생각했던 상황들
관 많이 달라졌지 내 인생
기횔 낚아챘고 난 보여줬지
이 판위에서 난 계속 앞으로 go
아무리 네가 뒤에서 날 까도
돈은 내가 벌어 어쩌냐 bro
언에듀 형처럼 난 화끈하게 굴어
새꺄 어쩌라고
온통 착각 속에 빠진 네 환상 말고
현실은 내 눈앞에 있어
그 아가리 좀 닥쳐봐
걸어 내 목을 매일 걸었기에 이젠
내가 원한 대로 움직여 매일
벌어 대 돈을 매일 벌어 대 내 친구들과
끊임없이 벌 생각해
멀었네 멀었네 아직 많이 멀었기에
계속해서 도전하고 뚫어대
다 쓸어대 쓸어대 말한 대로 이뤄내
계속해서 불려대지 나의 PAY
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP
Lil baby 걱정 마 무조건 벌어 GUAP",KOREANGROOVE,2023.01.30,55,랩/힙합
소리쳐봐,"소리쳐봐 말해봐 내 곁에
사비 두비 두비 다바
두비 두 바
I just want you to
break me down
떠벌여 떠들어봐
맘을 닫지 말아봐
세상을 바라봐
삶이 굽이굽이 전부 다르지만
I just want you to
break me a down
이제 너도 나를 바라 보라구
살아가는 길을 되짚어 써봐
아픔이 수많은 밤마다 있었니
키워갈 행복 찾아 커버린
많은 시련을 우린 스쳐가지
부딪혀봐 다가와 내 곁에
사비 두비 두비 다바
두비 두 바
I just want you to
break me down
꺼내봐 내밀어봐
모두 나와 나눠봐
전부를 걸어봐
삶이 돌고 돌아가서 모르지만
I just want you to
break me a down
무릎 꿇지 마라 누가 뭐래도
Everytime
넌 고민하고 있잖니
Everytime
넌 어떤 길로 갈까 망설이네
두비루 두비루 두비스
둠바리 두밤바
두비루 두비루 두비스
주위를 둘러봐
이젠 혼자가 아니야
소리쳐봐 말해봐 내 곁에
사비 두비 두비 다바
두비 두 바
I just want you to
break me down
떠벌여 떠들어봐
맘을 닫지 말아봐
세상을 바라봐
삶이 굽이굽이 전부 다르지만
I just want you to
break me a down
이제 너도 나를 바라 보라구

Everytime
더 자유롭고 싶잖니
Everytime
더 높은 곳을 향해 날고 싶니
두비루 두비루 두비스
둠바리 두밤바
두비루 두비루 두비스
꿈이 있잖아
이젠 내 손을 잡아봐
부딪혀봐 다가와 내 곁에
사비 두비 두비 다바
두비 두 바
I just want you to
break me down
꺼내봐 내밀어봐
모두 나와 나눠봐
전부를 걸어봐
삶이 돌고 돌아가서 모르지만
I just want you to
break me a down
무릎 꿇지 마라 누가 뭐래도
소리쳐봐 말해봐 내 곁에
너를 사랑해
You're mine
I just want you to
let me kmow
혼자만이 겪는 고통
Feel my soul
I just let me
I just want you
let me know
I gonna do
Feel my soul And I by my side
모든 것을 전부 내게 걸어 줄게
I just want you let me know

I just want you to
break me a down",현진영,2007.05.02,"4,823",랩/힙합
"별, 너의 바다 (Feat. 헤일리 정 Of 굿나잇스탠드)","별이 수놓은 바다
아직 그대로 일까
푸르던 파도
노랫소리에 설레였던 밤
다시 찾아가 ride ride
우릴 반기는 sky high
oh oh
yo ready for this
oh today is alright
오늘따라 유난히 더 상쾌한 이 기분
미세먼지 없는 날이야
아름다운 지구
창문 전부 열고 볼륨을 더 키워
조심해 조심해 저 기둥
나보다는 널 지킬 거야
심쿵한 이맘 들킬까 봐
항상 네 뒤에서 발맞추는 속도와
문을 열어주는 젠틀도 포함
들꽃 냄새 품은 신선한 공기 속
은은하게 섞인 네 향기 너무 좋아
내 목적지는 바로 너야
stop 거기서 딱 기다려
햇살처럼 환한 웃음 그보다도
더한 기쁨을 매일같이 줄 수 있어
고마워 나를 비춰주던 시간들
im gonna bring it back
별이 수놓은 바다
아직 그대로일까
푸르던 파도
노랫소리에 설레였던 밤
어깨를 빌려준
선물같던 시간들
작은 걸음걸음도
약속했던 널
불러 본 거야
dear my love
끝없이 펼쳐진 지평선으로
너와 함께 시선을 맞추고
밤새 신경 쓴 선곡으로
이 순간의 온도를 맞췄어
이래도 되나 싶을 정도의 적당함
사진보다 더 깊게 널 담아
행복이란 액자 속에 남겨
내 품 안으로 떨어지는 별
설명 필요 없어 너라면 된 거야
수백 번의 설렘이 가져온 입맞춤
생애 다신 없을 이 순간을
너와나 내 맘처럼 번진
붉은 노을 그 믿음
우릴 지켜보고 미소 짓는
달처럼 나 또한 옆에서 지켜줄께
별이 수놓은 바다
아직 그대로일까
푸르던 파도
노랫소리에 설레였던 밤
어깨를 빌려준
선물 같던 시간들
작은 걸음걸음도
약속했던 널
불러 본 거야
dear my love
점점 무뎌지는 것 같아
혼자 지쳐버린 감정의 상처
i'm gonna way
그 답답함에 바다가 보고 싶어
이맘때면 찾았지 한 번씩 꼭
내 전부를 감싸던 그리움
바다가 아니야 그건 너였어
달빛에 기대 모래 위에 적었던 이름
시간이 지나
이젠 모두 다 지워졌지만
여기 이 바다가 우릴 기억할 거야
가슴 깊은 곳에서
눈이 부시던 그 순간 사랑이었다고",MJ (써니사이드),2018.07.06,"4,336",랩/힙합
소나기 (Feat. Hash Swan),"난 구름같이 살아가고 있어
어디에도 머물지 못해서 지쳐
강한척하다가도 가끔 울컥
그날은 절대 하늘을 보지 말아줘
위에서 가끔 보면
사람들은 울고 웃어
뭐가 그리 좋고 싫은지
작아서 잘 안 보여
나는 구름 오늘도 두둥실
떠다닐 뿐 다른 건 모르지
나이는 스물넷 철이 드는 건
온 길 돌아가는 것보다 어렵지
겁 없이 출발한 하늘은 너무 높아
저 먹구름 날 향해 달려오잖아
천둥번개는 조금 무섭다가도
달이 뜬 밤하늘은 아름답잖아
대답 좀 해봐여 별님
도대체 난 정말 어디쯤인지
자유로워서 모르겠어요
어쩌면 바람은 운명일지도
난 구름같이 살아가고 있어
어디에도 머물지 못해서 지쳐
강한척하다가도 가끔 울컥
그날은 절대 하늘을 보지 말아줘
소나기가 주룩주룩주룩 내려와
전화기만 뚜루뚜루뚜루 울려대지
내가 지금 필요한 건
다름 아닌 love
사랑 같은 걸 또 난 바라고 있어
사랑 같은걸 사람 같은 걸
난 너무 다른 걸 쟤넨 똑같을걸
사랑 같은 걸 나만 아는 걸
바보 같은걸 난 바보 같은 걸
우비가 필요해
곧 소나기가 내릴 거야
우린 구름같이 떠다녔고
무거워진 거야
내가 사랑했던 구름은 사라졌네
미련 하나 없겠지 내가 모르게
걘 아마 이미 소나기를
쏟을 대로 쏟은 거야
난 이제야 쏟으려 하나 봐
이제서야 쏟으려 하나 봐
넌 어디서 누구에게 내렸나요
난 마땅한 곳이 없어 못 내렸나 봐
가끔 그럴 거야 앞으로도 괜찮아
원래 소나기는 금방 지나가거든
그래 너무 거세다가도
금세 지나가거든
난 또 사랑 같은 걸 바라고 있어
별거 아니지 웃으며
커피나 마시는 거지 뭐
난 또 사랑 같은 걸 바라고 있어
미안 가버린 너가 생각나서일지도
난 구름같이 살아가고 있어
어디에도 머물지 못해서 지쳐
강한척하다가도 가끔 울컥
그날은 절대 하늘을 보지 말아줘
소나기가 주룩주룩주룩 내려와
전화기만 뚜루뚜루뚜루 울려대지
내가 지금 필요한 건
다름 아닌 love
사랑 같은 걸 또 난 바라고 있어
사랑 같은걸 사람 같은 걸
난 너무 다른 걸 쟤넨 똑같을걸
사랑 같은 걸 나만 아는 걸
바보 같은걸 난 바보 같은 걸",릴러말즈 (Leellamarz),2019.01.11,"8,265",랩/힙합
"입장정리 (Feat. 최자, Simon D)","너 와 난 보기도 참 오래 봤지
우린 좋은 친구야
매일같이 붙어 다녔지
넌 거의 식구야
내 비밀까지 믿고 말 할 수 있는 넌
특별하고 소중한 내 친구야
그래 친구라 서로 기대고
때로는 취해 치대고
서로의 기대에 못 미쳐
어어 가끔 삐대고
그렇게 넌 내 모든걸 다 알았지
하나만 빼고
그동안 나 꾹 참았지
참고 참았지
나 말하려다 말았지
널 생각하는 내 마음은
우정과는 달랐지
하지만 혹시나
우리 사이 멀어질까봐
착각이라고 날 속이면서 살았지
애닳고 닳았지 내 맘은
겉은 웃지만 힘이 들어 내 안은
날 똑바로 봐
나 이제 네게 그 얘기를 하고 싶어
니 주변에서 중심으로 가고 싶어
lovin u
이제는 말 하고 싶은데
because of u
나는 여태 혼자 있는데
아마 겁이 나나봐
니가 떠나갈까봐
난 곁에서 곁에서
맴돌고만 있어
사실 질투가 났었어
다른 남자와의 연애상담
해줄 때 잘 안되길 바랬어
때론 밤잠도 설쳤어
나도 연인처럼 낮이 아닌
너의 밤을 갖기를 바랬어
너와 걸을 땐
니 손을 잡고 싶었어
너와 얘기할 땐
니 입술에 닿고 싶었어
너 바보처럼 웃을 땐
너무 이뻐서
부서지도록 널 세게 안고 싶었어
참고 참았지
나 말하려다 말았지
널 생각하는 내 마음은
우정과는 달랐지
하지만 혹시나
우리 사이 멀어질까봐
착각이라고
날 속이면서 살았지
오늘은 말할래
내 맘을 겉은 웃지만
많이 떨려 내 안은
날 똑바로 봐
나 이제 네게 그 얘기를 하고 싶어
니 주변에서 중심으로 가고 싶어
lovin u
이제는 말 하고 싶은데
because of u
나는 여태 혼자 있는데
아마 겁이 나나봐
니가 떠나갈까봐
난 곁에서 곁에서
맴돌고만 있어
우정보단 먼 사랑에
더 가까운 사이를 말하는 거야
시간이 너무 아까워
나이는 계속 먹어가고 있잖아
죽기 전까지
즐겁게 살 거 같지 않아
이렇게 너에게 떼쓰는 나를 봐
우리 계속 붙어있으니
자꾸만 딴 맘을 먹게 돼
장난도 안 치게 되고
혼자 걷게 되는 날은
빨리 지치게 돼 나 어떡해
lovin u
이제는 말 하고 싶은데
because of u
나는 여태 혼자 있는데
아마 겁이 나나봐
니가 떠나갈까봐
난 곁에서 곁에서
맴돌고만 있어
lovin u
이제는 말 하고 싶은데
because of u
나는 여태 혼자 있는데
아마 겁이 나나봐
니가 떠나갈까봐
난 곁에서 곁에서
맴돌고만 있어
천천히 생각해도 돼
대신 좋은 쪽으로만
근데 아니다 싶음 빨리 말해줘
혹시나 안되도 넌
still a friend of mine
입장정리 할 때야
솔직히 말해줘
천천히 생각해도 돼
대신 좋은 쪽으로만
근데 아니다 싶음 빨리 말해줘
혹시나 안되도 넌
still a friend of mine
입장정리 할 때야
솔직히 말해줘",프라이머리,2012.05.31,"23,829",랩/힙합
S.O.S,"sailing over saturn!
(you are now entering…)
I’m sailing over saturn!
(…space)

SOS!
let’s go-o-o-o-o-o-o
SOS!
let’s go-o-o-o-o-o-o
sailing over saturn!
let’s get lost
f the cost
말해 뭐해
like f all the loss
꿈을 담아 싣고 launch
3,2,1! let’s get lost!
let’s go-o-o-o-o-o-o
COMING TO YOU LIVE
I’m sailing over saturn!

take a listen
이걸 듣고 나면 알게 될 걸
왜 우릴 못 담는지 너의 차트가
witness the difference
우린 숫자들로 수치화를
할 수 없는 수채화를 그려가
we’ll run the distance
여정이 길어져도 타협 없어
we run the distance
to where we glisten
only space can hold us
DREAM PERFECT
(ignition)

LET’S GO!
let’s go beyond!
let’s go beyond!
let’s go beyond!
너랑 흐름을 즐길래
너랑 흐름을 느낄래
yeah yeah
LET’S GO!
let’s go beyond!
let’s go beyond!
let’s go beyond!
너란 흐름을 즐길래
너란 흐름을 느낄래
yeah yeah
(3! 2! 1! LET’S!)

let’s go-o-o-o-o-o-o
SOS!
let’s go-o-o-o-o-o-o
sailing over saturn!
let’s get lost
f the cost
말해 뭐해
like f all the loss
꿈을 담아 싣고 launch
3,2,1! let’s get lost!
let’s go-o-o-o-o-o-o
I’m sailing over saturn!

I’m passing by mars
(huh?) woah!
so this is how it look?
(yeah!) woah!
I heard people want to live here
어디서 주워들었지!
(어디서 주워들었더라? I don’t remember! uh)
but 기대하지 말자 my friends
why? 별거 없네
it’s just big, brown, round
재미없네! (재미없네)
why can’t we just live our lives?
why can’t we just love life?
like 왜 사람들은 말만
하면 서로 헐뜯을까?
이러면 뻔하잖아 지구의 결말
please no more dirty news
no more sns
지겨워요 n-no no more war
I don’t want no more stress
and I love my home so
오염도 그만했으면 해
choose love and never hate
so we can go beyond
LET’S GO!

LET’S GO!
let’s go beyond!
let’s go beyond!
let’s go beyond!
너랑 흐름을 즐길래
너랑 흐름을 느낄래
yeah yeah
LET’S GO!
let’s go beyond!
let’s go beyond!
let’s go beyond!
너란 흐름을 즐길래
너란 흐름을 느낄래
yeah yeah

IITE COOL

do you see it?
wow, well I do
do you see it?
wow, well I do
I’m sailing over saturn
cut the noise
drown this music
light the ceiling
let me pass by
I’m sailing over saturn
cut the noise
drown this music
light the ceiling
let me pass by
I’m sailing over you
I’m sailing over you
I’m sailing over you
I’m sailing over you right now
yeah",DPR LIVE,2020.03.03,"8,618",랩/힙합
너에게돌아가고있어이노래로,"너에게 돌아가고 있어 이 노래로
그래 나는 널 부르는 거야 오늘도
나는 여전히 네 마음을 잘 모르고
내가 또다시 널 울리고 말았어
기어코
나도 날 잘 몰라
왜 이러는지 조차
언제쯤 네게 도착
어쩌면 네게 못 가
너를 남겨두고 홀로
난 계속 제자리를 돌고
가는 거야 난 어디로
돌아가야 해 난 뒤로
알겠어 이제서야
너에게 향한 내 맘
그걸 알아줘 제발
너에게 닿을 때야
너에게 돌아가고 있어 이 노래로
그래 나는 널 부르는거야 오늘도
나는 여전히 네 마음을 잘 모르고
내가 또 다시 널 울리고 말았어
기어코
나도 날 잘 몰라
왜 이러는지 조차
언제쯤 네게 도착
어쩌면 네게 못 가",김효은,2020.09.28,"4,760",랩/힙합
CHROMA,"그대로 가 문제 있어도
straight forward yeah
Calculate all the problems
already in ma head
피하기엔 좀 늦었지만
다치며 배우는 스타일
랩보단 음악이 좋아 말하던 따라쟁이가
Draw art and sketch freakin’ songs
이제야 조금 들리는 주파수 대역과
What I want to be
궁극의 목표는 뭔가
1등 같은 고리타분함을 벗어나고파
바다가 뒤집히고 하늘은 붉은 기를 띄며
초록이 아닌 나무를 표현한 시를 읽어
셰익스피어보단 스탠 리의 코믹스
빅토르 위고의 철학보다는
귀욤뮈소의 판타지
색깔을 듣고 불러 음악을 쓰고 그려
영화는 맛을 보고 사진의 질감을 느껴
I can hear that CHROMA
내 예술의 벽은 깨고
선율이 좋은 물감으로만 채워
So I can hear that CHROMA
Play blue or violet
So I can hear that CHROMA
Draw sound like violin
So I can hear that CHROMA
Play blue or violet
So I can hear that
So I can hear that CHROMA
So I can hear that CHROMA
So I can hear that
So I can hear that CHROMA
So I can hear that CHROMA
단색 한 자루 볼펜
그게 내가 가졌었던 전부
시작은 점 몇 개 에서부터
이어나가 선을 만들고 여백을 매워가
내가 칠한 색 과연
어떻게 바라볼까 사람들은
대부분은 Black
좀 흐릿하게 칠해 놓은 부분은
회색빛으로 보겠지 Gray
Yeah I’m in the world of mono
사람들은 늘 도 아니면 모
But I’ll spread it like a butter
편협한 것들에 난 축을 더한다고
흑백의 그라데이션
완벽한 명암으로 그린 깊이에서
그 스케치에 얹은 멜로디의 음감
64색 이상의 화음의 물감
So I can hear that CHROMA
Play blue or violet
So I can hear that CHROMA
Draw sound like violin
So I can hear that CHROMA
Play blue or violet
So I can hear that
So I can hear that CHROMA
So I can hear that CHROMA
So I can hear that
So I can hear that CHROMA
So I can hear that CHROMA",배가본즈 (VagaVondz),2021.10.12,16,랩/힙합
현실에 2% 부족한 연인들에게 (Feat. AG),"좋은 옷 좋은 차 좋은 집
그보다 오로지 너 하나만을 원해
좋은 옷 좋은 차 좋은 집
그보다 너 하나만을 원해
오늘 같은 밤 you next be
그거면 됐어 just you and me
time to fly
dear god thanks that i found her
넌 내 삶의 VIP You & Me
사이좋게 나눠낀 이어폰에 흘러
카파코바나 창밖의 파란 하늘을 봐 난
멀리 구름너머 새들의 산책
그 밑에 야트막한 동산에 핀 꽃
보다 넌 아름다워 꽃이 말을 하니까
모질게도 불어 대는 현실에 된바람을
꿋꿋하게도 이겨냈으니깐
미소 하나로 like my mama
기억나 한참 돈이 없었을 때
캔커피 두개를 들고
너희 집앞 공원으로 가
서로가 수줍게 걸어가다
가로수 밑에 했던말들
널 평생 웃게 해줄 거라고
비록 지금 내가 부족하지만
조금만 기다려 현실에 부족함은 2프로
내 사랑 100프로 날 믿어
약속해 새끼 손까락을 걸어
같이 걸어 삶의 끝까지
좋은 옷 좋은 차 좋은 집
그보다 오로지 너 하나만을 원해
좋은 옷 좋은 차 좋은 집
그보다 너 하나만을 원해
오늘 같은 밤 you next be
그거면 됐어 just you and me
time to fly
내 머리속에 자꾸만 그려지는 니 그림
널 만나기 전까지의 시간은 매일 흐림
장마철에 비처럼 눈물을 쏙 빼는
거친 현실에 굳은 살이 밴 마음은
느릿 느릿 해졌지
풀 죽은 내게 물을 준 너
씁쓸했던 삶에 달콤한 꿈을 준 너
너 때문에 너 이기에 너라서 감사해
가진 것 없는 나란 놈도
이젠 행복해도 된다며
날개 똑 떼고 보낸 ma angel
함께 서울의 맨꼭대기에서 한 맹세
난 기억해 못다 핀 감정은 약 1년간
그리움으로 바꿔 다시 만날거라고
스물다섯 이른 봄 사랑이 머물 곳
스물다섯 이른 봄 향기를 품은 꽃
우리 함께 할 시간의 부족함은 2%
날 믿어 약속해
언제나 내 사랑은 100%
좋은 옷 좋은 차 좋은 집
그보다 오로지 너 하나만을 원해
좋은 옷 좋은 차 좋은 집
그보다 너 하나만을 원해
오늘 같은 밤 you next be
그거면 됐어 just you and me
time to fly
say i love you say i love you
사랑한단 말이면 돼잖아
어렵게 생각하지마
you let' me time to fly
say i love you say i love you
사랑한단 말이면 돼잖아
어렵게 생각하지마
you let' me time to fly
신은 아직 우릴 사랑하니깐
두눈은 아름다운 널 볼 수 있으니깐
두 손은 따스한 너의 손을 감싸니까
두발은 언제나 너에게로 가니깐
푸른 니 맘에 그늘에 잠시 쉴래
떨리는 손과 다문 입술에 잠깐 실례
빠르게 뛰는 심장박동을
박자삼아 나눈 대화
세상 가득히 울려 퍼질 사랑 노랫말
좋은 옷 좋은 차 좋은 집
그보다 오로지 너 하나만을 원해
좋은 옷 좋은 차 좋은 집
그보다 너 하나만을 원해
오늘 같은 밤 you next be
그거면 됐어 just you and me
time to fly
좋은 옷 좋은 차 좋은 집
그보다 오로지 너 하나만을 원해
좋은 옷 좋은 차 좋은 집
그보다 너 하나만을 원해
오늘 같은 밤 you next be
그거면 됐어 just you and me
time to fly",키네틱 플로우,2009.01.06,"4,779",랩/힙합
BECAUSE I'M A ROCKSTAR (Feat. YUNHWAY),"OH BABY 우리 서로 묘한 긴장감이
니 MSCHF 핏에 기가 나는 차지
OK 오늘 그냥 부숴 갈 때까지
ROCKSTAR 무사 좋아 앞에까지
한 10초뒤엔 HEY GIRL WHAT'S UP
날 보는 눈빛 OH 자신감이 넘쳐
너는 먼저 한요한이 좋다며
웃고선 말 거는 성격
나는 좀 위험해
MSCHF 크롭티가 위협해
아재들은 날 많이 미워해
ROCKSTAR 무사 지금 좀 위험해
take me on a ride with you
엑시브 올라타고
what you wanna do eh
imma let you in ma room
do whatever
i’m gon let u ride on me babe
어디라도 좋아 난
데려가줘 오늘밤은 너와 나
we gon light it up all night
연기 속에 갇혀 우리
술잔 왼손에 든 채
나는 분명 내일 기억 못 해 OK OK
Bombay dompe Jose 전부다 쏠게
난 분명 내일 기억 못 해도 돼 OK
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
yeah you a rockstar 오빤 나의 팝스타
뭐든 해도 멋져 지금은 나의 유튜브스타
킥보드 타고 가면 따라갈게
언제나 옆에 있어
cause i’m your number one fan
let me know 뭐든 할 수 있어
just let me know
crop top mischief put me on
drop top yellow porsche
태워줘 죽여줘
oh 언제나 내 곁에서 웃겨줘 babe
내 핸드폰 지켜줘 멋진 케이스 babe
오늘은 나만을 위한 기타를 쳐도 돼
락스타 무사 요한 뭐든 돼
한 10초뒤엔 HEY GIRL WHAT'S UP
날 보는 눈빛 OH 자신감이 넘쳐
내 귓가에
BABY I’M A ROCKSTAR가 좋다며
부르는 성격
나는 좀 위험해
MSCHF 크롭티가 위협해
아재들은 날 많이 미워해
ROCKSTAR 무사 지금 좀 위험해
take me on a ride with you
엑시브 올라타고
what you wanna do eh
imma let you in ma room
do whatever
i’m gon let u ride on me babe
어디라도 좋아 난
데려가줘 오늘밤은 너와 나
we gon light it up all night
연기 속에 갇혀 우리
술잔 왼손에 든 채
나는 분명 내일 기억 못 해 OK OK
Bombay dompe Jose 전부다 쏠게
난 분명 내일 기억 못 해도 돼 OK
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
ROCKSTAR ROCKSTAR ROCKSTAR
BECAUSE I’M A
BECAUSE I’M A
BECAUSE I’M A
BECAUSE I’M A",한요한,2020.03.28,"8,015",랩/힙합
