제목,가사,가수,발매일,좋아요수,장르
춘천역에서,"가랑비 부슬부슬
내리는 춘천역에서
잊고 살던 그 사람
우연히 만날 줄이야
횡단보도 하얀 점선에
할 말을 내려놓고
그날처럼 엇갈린다
또 만날 기약도 없이
멀어져 버린 우리 두 사람
서글픈 우리의 사랑
기억도 가물가물
희미한 시간 속으로
멀어져 간 그 사람
또다시 만날 줄이야
횡단보도 하얀 점선에
할 말을 내려놓고
그날처럼 엇갈린다
또 만날 기약도 없이
돌아서 버린 춘천역에서
내 마음 비에 젖는다
돌아서 버린 춘천역에서
내 마음 비에 젖는다",윤쾌로,2019.04.23,66,성인가요/트로트
척척 (척척하지 마세요),"안녕했는가
아따 명준이가 왔다
잘난 척 쿨한 척 많이 아는 척
누가 보면 척척박사 나셨네
있는 척 없는 척 맘이 착한 척
척척하지 마세요
자연스럽게 내추럴하게
이것저것 재지 말고
너는 너답게 나는 나답게
살아가는 거야
척척하지 마세요
척척하지 마세요
애쓰지 말고 떼쓰지 말고
살아가는 거야
척척하지 마세요
잘난 척 쿨한 척 많이 아는 척
누가 보면 척척박사 나셨네
있는 척 없는 척 맘이 착한 척
척척하지 마세요
자연스럽게 내추럴하게
이것저것 재지 말고
너는 너답게 나는 나답게
살아가는 거야
척척하지 마세요
척척하지 마세요
애쓰지 말고 떼쓰지 말고
살아가는 거야
척척하지 마세요
잘난 척 쿨한 척 많이 아는 척
척척하지 마세요
있는 척 없는 척 맘이 착한 척
애쓰지 말고 떼쓰지 말고
살아가는 거야
척척하지 마세요",MJ (ASTRO),2019.06.14,"4,031",성인가요/트로트
엄마아리랑 (Inst.),"엄마아리랑 아리랑
아리아리랑 아라리요
아들딸아 잘되거라
밤낮으로 기도한다
엄마 아리랑
사랑하는 내 아가야
보고싶다 우리 아가
천년만년 지지 않는 꽃이 피는구나
아 리 랑 아 리 랑
사랑 음 사랑 음 엄마 아리랑
아리아리랑 아라리요
쓰리쓰리랑 아라리요
우리 엄마 사랑은
아리랑 엄마 아리랑
엄마아리랑 아리랑
아리아리랑 아라리요
우리 엄마 무병장수
정성으로 기원하오
엄마 아리랑
사랑하는 내 어머니
보고싶소 울 어머니
서산마루 해가 지고 달이 뜨는구나
아 리 랑 아 리 랑
사랑 음 사랑 음 엄마아리랑
아리아리랑 아라리요
쓰리쓰리랑 아라리요
우리 엄마 사랑은 아리랑
엄마 아리랑
아 리 랑 아 리 랑
사랑 음 사랑 음
엄마 엄마
우리 어머니 아 리 랑
에야디야 에헤라디야디야
에야디야 에헤라디야디야
에야디야 에헤라디야디야
엄마 아리랑",송가인,2019.11.04,"6,146",성인가요/트로트
엄마아리랑 (Ballad Ver.) (Inst.),"엄마아리랑 아리랑
아리아리랑 아라리요
아들딸아 잘되거라
밤낮으로 기도한다
엄마 아리랑
사랑하는 내 아가야
보고 싶다 우리 아가
천년만년 지지 않는 꽃이 피는구나
아 리 랑 아 리 랑
사랑 음 사랑 음 엄마 아리랑
엄마아리랑 아리랑
아리아리랑 아라리요
우리 엄마 무병장수
정성으로 기원하오
엄마 아리랑
사랑하는 내 어머니
보고싶소 울 어머니
서산마루 해가 지고 달이 뜨는구나
아 리 랑 아 리 랑
사랑 음 사랑 음 엄마아리랑
아리아리랑 아라리요
쓰리쓰리랑 아라리요
우리 엄마 사랑은 아리랑
엄마 엄마
우리 어머니
아리랑",송가인,2019.11.04,"6,020",성인가요/트로트
천생연분,"사랑꽃 만개하는 내 마음속엔
언제나 당신 뿐이야
이때가 지나면 떠나갑니다
늦기 전에 꽉 잡아 주세요
날이 가고 해가 지나고
세월이 흘러도
변치 않는 사랑 만들어요
잊지 말아요 이젠
당신과 나는 우린
백년가약 천생연분이야
때로는 고된 날도 올 수 있겠죠
우리도 늙어 가겠죠
그때가 온대도 잡은 두 손을
놓지마요 함께 갈 거야
날이 가고 해가 지나고
세월이 흘러도
변치 않는 사랑 만들어요
잊지 말아요 이젠
당신과 나는 우린
백년가약 천생연분이야
잊지 말아요 이젠
당신과 나는 우린
백년가약 천생연분이야",김민희,2019.12.26,95,성인가요/트로트
찔레꽃,"엄마 일 가는 길에
하얀 찔레꽃
찔레꽃 하얀 잎은
맛도 좋지
찔레꽃
붉게 피는
남쪽 나라
내 고향
언덕 위에
초가삼간
그립습니다
자주 고름
입에 물고
눈물
젖어
이별가를
불러주던
못 잊을
사람아
달뜨는
저녁이면
노래하던
새 동무
천리객창
북두성이
서럽습니다
작년 봄에
모여 앉아
찍은
사진
하염없이
바라보니
즐거운
시절아
작년 봄에
모여 앉아
찍은
사진
하염없이
바라보니
즐거운
시절아
즐거운
시절아
즐거운
시절아",김용임,2020.03.19,97,성인가요/트로트
댄싱퀸 (2020 Ver.),"새침한 아가씨 지적인 아가씨
말숙한 아가씨
사랑할 준비하고 모두 다 오세요
무지개 빛 찬란한 희망을 꿈꾸며
나의 정열에 음악에 맞춰 춤을 춰요
춤을 춥시다 밤이 새도록
그대의 날이랍니다
댄스 댄스 댄스 춤을 춤시다
댄스 댄스 댄스 리듬에 맞춰
댄스 댄스 댄스 내게 오세요
그대 오늘의 섹시한 여자
오 댄싱퀸
어려워 마세요 창피해 마세요
두려워 마세요
사랑할 준비하고 모두 다 오세요
골치 아픈 하루 일 모두 다 잊고서
나의 정열에 음악에 맞춰 춤을 춰요
춤을 춥시다 밤이 새도록
그대의 날이랍니다
댄스 댄스 댄스 춤을 춤시다
댄스 댄스 댄스 리듬에 맞춰
댄스 댄스 댄스 내게 오세요
그대 오늘의 섹시한 여자
오 댄싱퀸
댄스 댄스 댄스 춤을 춤시다
댄스 댄스 댄스 리듬에 맞춰
댄스 댄스 댄스 내게 오세요
그대 오늘의 섹시한 여자
오 댄싱퀸
그대 오늘의 섹시한 여자
그대 오늘의 섹시한 여자
오 댄싱퀸",박현빈,2020.04.01,228,성인가요/트로트
99.9,"붙잡아 내 뒤를 꼭 잡아
기회는 한 번 뿐이야
보기엔 소박하고
계산은 느리지만
당신 하나쯤
행복하게 할 수 있어
멋진 옷에 좋은 차
부러워 하지마
빈수레가 요란하잖아
속이 꽉찬 남자
구십 구점 구
사랑도 구십 구점 구
거짓없는 마음 하나로
당신만을기다리잖아
따라와 날 믿고 따라와
더이상 망설이지마
꾸미기 싫어하고
말씨는 서툴지만
당신 앞에선
누구보다 남자답지
번지르한 겉 모습
거기에 속지 마
빈 깡통이 소리가 크지
속이 꽉찬 농산물
구십 구점 구
농민도 구십 구점 구
거짓없는 마음 하나로
당신만을 기다리잖아
속이 꽉찬 농산물 구십 구점 구
농민도 구십 구점 구
거짓없는 마음 하나로
국민만을 기다리잖아",영탁,2020.06.03,"5,175",성인가요/트로트
있을 때 잘해,"있을 때 잘해 후회하지 말고
있을 때 잘해 후회하지 말고
있을 때 잘해 흔들리지 말고
있을 때 잘해 흔들리지 말고
가까이 있을 때 붙잡지 그랬어
있을 때 잘해 그러니까 잘해
있을 때 잘해 그러니까 잘해
이번이 마지막 마지막 기회야
이제는 마음에 그 문을 열어줘
아무도 모르게 보고파질 때
그럴 때마다 너를 찾는거야
바라보고 있잖아 있잖아
사랑하고 있잖아 있잖아
더 이상 내게 무얼 바라나
있을 때 잘해 있을 때 잘해
있을 때 잘해 후회하지 말고
있을 때 잘해 후회하지 말고
있을 때 잘해 흔들리지 말고
있을 때 잘해 흔들리지 말고
가까이 있을 때 붙잡지 그랬어
있을 때 잘해 그러니까 잘해
있을 때 잘해 그러니까 잘해
이번이 마지막 마지막 기회야
이제는 마음에 그 문을 열어줘
아무도 모르게 보고파질 때
그럴 때마다 너를 찾는거야
바라보고 있잖아 있잖아
사랑하고 있잖아 있잖아
더 이상 내게 무얼 바라나
있을 때 잘해 있을 때 잘해",장민호,2020.06.10,"2,269",성인가요/트로트
타타타,"네가 나를 모르는데
난들 너를 알겠느냐
한치앞도 모두 몰라
다 안다면 재미없지
바람이 부는 날은 바람으로
비오면 비에 젖어
사는거지 그런거지
음음음 아 하하
산다는건 좋은거지
수지맞는 장사잖소
알몸으로 태어나서
옷한벌은 건졌잖소
우리네 헛짚는 인생살이
한세상 걱정조차 없이 살면
무슨 재미 그런게 덤이잖소
네가 나를 모르는데
난들 너를 알겠느냐
한치앞도 모두 몰라
다 안다면 재미없지
바람이 부는 날은 바람으로
비오면 비에 젖어
사는거지 그런거지
음음음 아 하하
산다는건 좋은거지
수지맞는 장사잖소
알몸으로 태어나서
옷한벌은 건졌잖소
우리네 헛짚는 인생살이
한세상 걱정조차 없이 살면
무슨 재미 그런게 덤이잖소",이찬원,2020.06.26,"4,642",성인가요/트로트
꼰대라떼,"제발 그만그만 그만해
오늘도 시작되는 꼰대라떼
아침에 한 잔 점심에 세 잔
저녁엔 열 잔이나 마셨는데
뻔뻔하게 뻔하게 반복되는
하루가 지나간다
왕년에 내가 말하신다면
오늘도 시작이구나
니까짓 게 뭘알아 궁금하시면
라떼를 한잔드세요
라떼라떼라떼라떼 라떼는 말이야
라떼라떼라떼라떼 라떼는 말이야
아침부터 시작되는 꼰대라떼
라떼라떼라떼라떼 라떼는 말이야
라떼라떼라뗀 말이야
제발 그만그만 그만해
오늘도 반복되는 꼰대라떼
아침에 번쩍 점심에 헤롱
저녁엔 내 정신이 어딜 갔나
뻔뻔하게 뻔하게 반복되는
하루가 지나간다
왕년에 내가 말하신다면
오늘도 시작이구나
니까짓 게 뭘 알아 궁금하시면
라떼를 한잔 드세요
라떼라떼라떼라떼 라떼는 말이야
라떼라떼라떼라떼 라떼는 말이야
아침부터 시작되는 꼰대라떼
라떼라떼라떼라떼 라떼는 말이야
라떼라떼라뗀 말이야
제발 그만그만 그만해
오늘도 반복되는 꼰대라떼
라떼라떼라떼라떼 라떼는 말이야
라떼라떼라떼라떼 라떼는 말이야
하루종일 계속되는 꼰대라떼
라떼라떼라떼라떼 라떼는 말이야
라떼라떼라뗀 말이야
제발 그만그만 그만해
리필은 됐습니다 꼰대라떼",영탁,2020.07.09,"4,603","성인가요/트로트, 국내드라마"
비처럼 음악처럼,"비가 내리고 음악이 흐르면
난 당신을 생각해요
당신이 떠나시던 그 밤에
이렇게 비가 왔어요
비가 내리고 음악이 흐르면
난 당신을 생각해요
당신이 떠나시던 그 밤에
이렇게 비가 왔어요
난 오늘도 이 비를 맞으며
하루를 그냥 보내요
오 아름다운 음악같은
우리의 사랑의 이야기들은
흐르는 비처럼
너무 아프기 때문이죠
난 오늘도 이 비를 맞으며
하루를 그냥 보내요
오 아름다운 음악같은
우리의 사랑의 이야기들은
흐르는 비처럼
너무 아프기 때문이죠
그렇게 아픈 비가 왔어요",영탁,2020.07.29,"5,335",성인가요/트로트
만약에 (MR),"만약에 당신이 그 누구와
사랑에 빠지면
그 사랑을 위해서 무얼할 수 있나
텅빈세상 살아가는 이유가
만약에 너라면 어떡하겠니
사는 동안 단 한 번의 사랑이
만약에 너라면 허락하겠니
얼마나 더많이 외로워해야
널 끌어안고서 울어볼까
이제는 더이상 지칠 몸조차
비워둘 마음조차 없는데
또다른 이유로 널 못본다면
나 살아가는 의미도 없지
만약에 널 위해 나 죽을 수 있다면
날 받아 주겠니
텅빈세상 살아가는 이유가
만약에 너라면 어떡하겠니
사는 동안 단 한 번의 사랑이
만약에 너라면 허락하겠니
얼마나 더 많이 외로워해야
널 끌어안고서 울어볼까
이제는 더이상 지칠 몸조차
비워둘 마음조차 없는데
또다른 이유로 널 못본다면
나 살아가는 의미도 없지
만약에 널 위해 나 죽을 수 있다면
날 받아 주겠니
만약에 널 위해 나 죽을 수 있다면
날 받아 주겠니
만약에 당신이 그 누구와
사랑에 빠지면
그 사람을 위해서 다 해줄 수 있나",조항조,2020.07.31,"17,581",성인가요/트로트
이제 나만 믿어요 (MR),"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요",임영웅,2020.08.07,"10,016",성인가요/트로트
보고싶은 얼굴,"내사랑 어디 쯤에 있나
밤은 더 외로워만 지고
눈으로 주고받던 말이
손으로 느껴지는데
수없이 많은 밤은 가고
마음은 그대 향해 있어
서글퍼 눈물이 흘러도
보고 싶은 얼굴
메마른 가슴 끌어안고
정들은 사람 그리면서
혼자서 지새우는 밤에
보고 싶은 사람
랄라라 라라라라 라라
랄라라 라라라라 라라
내사랑 어디 쯤에 있나
밤은 더 외로워만 지고
눈으로 주고 받던 말이
손으로 느껴지는데
수없이 많은 밤은 가고
마음은 그대 향해 있어
서글퍼 눈물이 흘러도
보고싶은 얼굴
메마른 가슴 끌어안고
정들은 사람 그리면서
혼자서 지새우는 밤에
보고 싶은 사람
랄라라 라라라라 라라
랄라라 라라라라 라라
랄라라 라라라라 라라
혼자서 지새우는 밤에
보고 싶은 사람
수없이 많은 밤은 가고
마음은 그대 향해 있어
서글퍼 눈물이 흘러도
보고싶은 얼굴",김희재,2020.09.18,"2,698",성인가요/트로트
사랑은 나비인가 봐+나는 열일곱살이예요,"[이찬원_사랑은 나비인가 봐]
고요한 내 가슴에 나비처럼 날아와서
사랑을 심어놓고 나비처럼 날아간 사람
내 가슴에 지울 수 없는 그리움 주고 간 사람
그리운 내 사연을 뜬구름아 전해다오
아아아 아아아아아 사랑은 얄미운 나비인가 봐

[정동원_나는 열일곱살이예요]
나는 가슴이 두근거려요 당신만 아세요 열일곱살이에요
가만히 가만히 오세요 요리조리로
파랑새 꿈꾸는 버드나무 아래로
가만히 오세요 가만히 오세요",이찬원,2020.10.05,"5,939",성인가요/트로트
사랑의 밧줄,"밧줄로 꽁꽁
밧줄로 꽁꽁
단단히 묶어라
내 사랑이 떠날 수 없게
사랑의 밧줄로 꽁꽁 묶어라
내 사랑이 떠날 수 없게
당신 없는 세상은 단 하루도
나 혼자서 살 수가 없네
바보같이 떠난다니
바보같이 떠난다니
나는 나는 어떡하라고
밧줄로 꽁꽁
밧줄로 꽁꽁
단단히 묶어라
내 사랑이 떠날 수 없게
밧줄로 꽁꽁
밧줄로 꽁꽁
단단히 묶어라
사랑의 밧줄로 꽁꽁 묶어라
그 사람이 떠날 수 없게
당신 없는 세상은 나 혼자서
아무것도 할 수가 없네
나를 두고 떠난다니
나를 두고 떠난다니
정말 정말 믿을 수 없어
밧줄로 꽁꽁
밧줄로 꽁꽁
단단히 묶어라
그 사람이 떠날 수 없게
밧줄로 꽁꽁
밧줄로 꽁꽁
단단히 묶어라
밧줄로 꽁꽁
밧줄로 꽁꽁
단단히 묶어라
내 사랑이 떠날 수 없게
내 사랑이 떠날 수 없게
내 사랑이 떠날 수 없게",트둥이(이송연&오유진),2021.01.31,144,성인가요/트로트
죽는 시늉 (MR),"아무리 둘러봐도
당신만한 사람은 없어
아무리 찾아봐도
당신만큼 예쁜 사람은 없어
내 눈엔 당신입니다
오로지 당신입니다
자꾸만 생각납니다
당신을 사랑합니다
어떻게 해야 할까요
어떻게 하면 좋을까요
어떻게 하면 내 맘 알까요
죽으라면 죽는 시늉까지 할게요
아무리 살펴봐도
당신 밖에 보이질 않아
아무리 따져 봐도
당신만큼 좋은 사람은 없어
수많은 사람들 중에
당신만 보였습니다
수많은 인연 중에서
당신은 사랑의 인연
어떻게 해야 하나요
당신이 너무 좋은데
어떻게 하면 내 속 알까요
죽으라면 죽는 시늉까지 할게요
죽으라면 죽는 시늉까지 할게요",임영웅,2021.04.27,"7,283",성인가요/트로트
사진첩,"이제 와 찰칵 그대를 담으려
느린 눈을 깜빡여요
미워도 찰칵 넣어둘게요
내 마음속 사진첩 안에
사진이라도 찍어둘 것을
이제 와 후회가 됩니다
영원할거라 믿어버렸던
어리석은 내가 미워요
이제 와 찰칵 그대를 담으려
느린 눈을 깜빡여요
미워도 찰칵 넣어둘게요
내 마음속 사진첩 안에
타버린 가슴 치며 울어도
그대를 안을 수 없네요
가슴에 새긴 그대 모습이
그리워 눈물이 흘러요
이제와 찰칵 그대를 담으려
느린 눈을 깜빡여요
미워도 찰칵 넣어둘게요
내 마음속 사진첩 안에
내 마음속 사진첩 안에",강혜연,2021.04.30,335,성인가요/트로트
화난 여자,"사랑한다고 나를 좋아한다고
뜨겁게 맹세해놓고
몇 년됐다고 다른 여자의
꽁무닐 쫓아다녀
진짜 오해야 정말 잘못 본거야
눈뜨면 거짓말이야
믿고 싶지만 참고 싶지만
요번엔 딱 걸렸어
못 나갈때 바리바리 거둬서
인간 만들어 놨더니
먹고 살만 하니까 나를 배신해
에라 몹쓸 사람아
앞으론 국물도 없다
싫어지는 인생사가
나를 울려버리네
사랑한다고 나를 좋아한다고
뜨겁게 맹세해놓고
몇 년됐다고 다른 여자의
꽁무닐 쫓아다녀
진짜 오해야 정말 잘못 본거야
눈뜨면 거짓말이야
믿고 싶지만 참고 싶지만
요번엔 딱 걸렸어
못 나갈때 바리바리 거둬서
인간 만들어 놨더니
먹고 살만 하니까 나를 배신해
에라 몹쓸 사람아
앞으론 국물도 없다
싫어지는 인생사가
나를 울려버리네
못 나갈때 바리바리 거둬서
인간 만들어 놨더니
먹고 살만 하니까 나를 배신해
에라 몹쓸 사람아
앞으론 국물도 없다
싫어지는 인생사가
나를 울려버리네
나를 울려버리네",김희재,2021.05.04,"1,969",성인가요/트로트
청춘을 돌려다오,"청춘을 돌려다오
젊음을 다오
흐르는 내 인생의
애원이란다
못다한 그 사랑도
태산 같은데
가는 세월 막을 수는
없지 않느냐
청춘아 내 청춘아
어딜 가느냐
청춘을 돌려다오
젊음을 다오
흐르는 내 인생의
애원이란다
지나간 그 옛날이
어제 같은데
가는 세월 막을 수는
없지 않느냐
청춘아 내 청춘아
어딜 가느냐",별사랑,2021.05.12,241,성인가요/트로트
아내에게 바치는 노래,"젖은 손이 애처로워 살며시
잡아본 순간
거칠어진 손마디가
너무나도 안타까웠소
시린 손끝에 뜨거운 정성
고이 접어 다져온 이 행복
여민 옷깃에 스미는 바람
땀방울로 씻어온 나날들
나는 다시 태어나도
당신만을 사랑하리라
미운 투정 고운 투정
말없이 웃어넘기고
거울처럼 마주보며 살아온
꿈같은 세월
가는 세월에 고운 얼굴은
잔주름이 하나둘 늘어도
내가 아니면 누가 살피랴
나 하나만 믿어온 당신을
나는 다시 태어나도
당신만을 사랑하리라",양지은,2021.05.26,"1,074",성인가요/트로트
집에 가는 길,"울고 넘는 박달재를 소리쳐 부르며
한 잔 술에 취한 몸은 집으로 가는데
어두워진 골목 길 돌아서니
외로운 가로등 하나
취한 눈 크게 뜨고 바라보니
불 꺼진 내 창가엔 달빛 내리고
옛사랑 순이가 보고싶구나
철없던 시절 내 곁을 떠난 그대
사나이 가슴에 추억을 남겨준
그대는 나의 첫사랑이었 어
울고 넘는 박달재를 소리쳐 부르며
한 잔 술에 취한 몸은 집으로 가는데
어두워진 골목 길 돌아서니
외로운 가로등 하나
취한 눈 크게 뜨고 바라보니
불 꺼진 내 창가엔 달빛 내리고
옛사랑 순이가 보고싶구나
철없던 시절 내 곁을 떠난 그대
사나이 가슴에 추억을 남겨준
그대는 나의 첫사랑이었어
그대는 나의 첫사랑이었어",손빈아,2021.06.14,66,성인가요/트로트
