제목,가사,가수,발매일,좋아요수,장르
야야야,"야 야야야야 다 같이
야 야야야야 더 크게
야 야야야야 신나게
한 잔 술에 취한 몸이
두 잔 술에 호프집으로
오늘밤은 왠지
나도 한 번 취하고 싶어
소주에는 짬뽕
생맥주에는 노가리
이왕이면 닭다리 잡고
뜯어 뜯어
밤하늘에 별들처럼
모여 사는 도시 밤거리
네온싸인 불빛 아래서
너를 너를 사랑해
너의 맘 불지를 거야
진짜 진짜 진짜
뜨겁게 달궈줄 거야
나를 나를 믿어봐
진짜 진짜 믿어봐
당신 맘을 확실히 불지를 거야
야 야야야야 다 같이
야 야야야야 더 크게
야 야야야야 신나게
잘난 사람 못난 사람
너도 나도 사연은 많아
인생살이가 노래가사 같더냐
요번에는 진짜냐
다음번에 진짜냐
이왕이면 똘똘 뭉쳐줄 사람
반달 같은 그 눈썹에
앵두 같은 너의 입술
오색등불 조명 아래서
너를 너를 좋아해
너의 맘 불지를 거야
진짜 진짜 진짜
뜨겁게 달궈줄 거야
나를 나를 믿어봐
진짜 진짜 믿어봐
당신 맘을 확실히 불지를 거야
야 야야야야 다 같이
야 야야야야 더 크게
야 야야야야 신나게",이박사,2015.09.21,437,성인가요/트로트
꽃물,"꽃물이 들었어요
외로웠던 나의 가슴에
빨강 노랑 분홍빛의
곱디 고운 사랑 꽃물이
어서 내게로 오세요
어서 손잡아 주세요
나는 그대 남자에요
하나도 아낌없이
하나도 남김없이
모두모두 줄게요
눈물일랑 주지 말아요
아픔일랑 주지 말아요
이제는 그대만이
나에게 전부에요
영원히 영원히 영원히
꽃물 든 나의 가슴에
상처를 주지 마세요
그대를 사랑합니다
꽃물이 들었어요
외로웠던 나의 가슴에
빨강 노랑 분홍빛의
곱디 고운 사랑 꽃물이
어서 내게로 오세요
어서 손잡아 주세요
나는 그대 남자에요
하나도 아낌없이
하나도 남김없이
모두모두 줄게요
눈물일랑 주지 말아요
아픔일랑 주지 말아요
이제는 그대만이
나에게 전부에요
영원히 영원히 영원히
꽃물 든 나의 가슴에
상처를 주지 마세요
그대를 사랑합니다
그대를 사랑합니다",신유,2016.12.13,219,성인가요/트로트
구로 아가씨,"기숙사 창틈으로 달빛이 스며들면
두고온 고향하늘 보고싶은 그얼굴
낮이면 공단에서 인생의 나래펴고
밤에는 야학에서 내일을 설계하는
나는야 꿈도 많은 구로 아가씨
그누가 타향살이 외롭다 말했던가
고향처럼 아늑한 정이지 않는가
어쩌다 소꼽동무 옛생각 스칠때면
수줍어 미소짓는 보람의 나루터
나는야 꿈도 많은 구로 아가씨",정수라,1983.09.05,29,성인가요/트로트
강진애,"백련사 동백꽃이 흐드러지게 피었네
길위에 떨어진 동백 꽃잎은 외로움의 눈물이었나
사랑을 맹세하며 함께걷던 이길에
무심한 산새소리만
아 아 아 님은떠나고 동백꽃만 붉게피었네

둘이서 함께걷던 가우도 출렁다리
저멀리 고금대교 불빛들은 그리움의 눈물이였나
영원을 다짐했던 까막섬의 숲길에
애닯은 파도소리만
아 아 아 돌아와주오 내사랑 강진 강진애

사랑을 맹세하며 함께걷던 이길에
무심한 산새소리만
아 아 아 돌아와주오 내사랑 강진 강진애",정의송,2017.04.03,50,성인가요/트로트
하늘에게 물으니,"하늘에게 물으니 높게 보라 합니다
음
바다에게 물으니 넓게 보라 합니다
저 산에게 물으니 올라서라 합니다
음
바람에게 물으니 맞서라고 합니다
높게 보라 하지만 넓게 보라 하지만
한치 앞도 볼 수 없는 세상인 것을
산다는 것이 얼마나 고독한 일이던가
그래도 살아보자 사랑하자
태양에게 물으니 도전하라 합니다
음
달님에게 물으니 빛이 되라 합니다
어둠에게 물으니 쉬어가라 합니다
음
비에게 물으니 씻어내라 합니다
도전하라 하지만 빛이 되라 하지만
끝이 없는 갈등만이 가득한 세상
산다는 것이
얼마나 고독한 일이던가
그래도 살아보자 사랑하자
그래도 살아보자 사랑하자",박정식,2017.07.17,337,성인가요/트로트
초혼,"산산이 부서진 이름이여!
허공(虛空)속에 헤어진 이름이여!
불러도 주인(主人)없는 이름이여!
부르다가 내가 죽을 이름이여!

붉은 해는 서산(西山) 마루에 걸리었다.
사슴의 무리도 슬피 운다.
떨어져 내가 앉은 산위에
나는 그대의 이름을 부르노라.

사랑하던 그 사람이여!
사랑하던 그 사람이여!

떨어져 내가 앉은 산위에
나는 그대의 이름을 부르노라.

사랑하던 그 사람이여!
사랑하던 그 사람이여!

나나",이은하,1997.06.05,67,성인가요/트로트
아리수 (한강),"가시리 가시리 가시리 가시리 잇고
흘러간 강물은 돌아오지 않는다
가시리 가시리 가시리 잇고
한 번 떠난님은 오지 않는다
가시리 가시리 가시리 가시리 잇고
흰구름 두둥실 강물에 흐른다
가시리 가시리 가시리 잇고
소리개가 아리수를 날은다
아리아리아리수 흘러간다 아리수
아리랑 아라리요 아리수 흘러간다
가시리 가시리 가시리 가시리 잇고
흰구름 두둥실 강물에 흐른다
가시리 가시리 가시리 잇고
강물처럼 역사는 흐른다
아리아리아리수 흘러간다 아리수
아리랑 아라리요 아리수 흘러간다
아리랑 아라리요 아리수 흘러간다
아리수 흘러간다 아리수 흘러간다",나훈아,2018.02.05,66,성인가요/트로트
골목길,"오늘밤은 너무 깜깜해
별도 달도 모두 숨어버렸어
네가 오는 길목에 나 혼자 서있네
혼자있는 이 길이 난 정말 싫어
찬바람이 불어서 난 더욱 싫어
기다림에 지쳐 눈물이 핑 도네
지금 올 시간이 된 것도 같은데
지금 내 모습이 보일 것도 같은데
혼자있는 이 길은 아직도 쓸쓸해
골목길에서
널 기다리네
아무도 없는 쓸쓸한 골목길
오늘밤은 너무 깜깜해
별도 달도 모두 숨어버렸어
네가 오는 길목에 나혼자 서있네
혼자 있는 이 길이 난 정말 싫어
찬바람이 불어서 난 더욱 싫어
기다림에 지쳐 눈물이 핑 도네
이제 올 시간이 된 것도 같은데
이제 내 모습이 보일 것도 같은데
혼자 있는 이 길은 아직도 쓸쓸해
골목길에서 널 기다리네
아무도 없는 쓸쓸한 골목길
골목길 골목길 골목길 골목길
골목길 골목길 골목길 골목길",이재민,2019.01.07,112,성인가요/트로트
토닥토닥,"당신이 있는 곳에도
봄날은 찾아옵니까
봄날에 떨어진 꽃잎은
나의 작은 안부입니다
여름날에 아무 예고 없이
소나기 내리는 것은
저세상에 못다 한 사랑
서러운 이유겠지요
그리워 그리워라
서러워 서러워라
단 한 번 보신다면
맘 놓고 울고 싶어라
토닥토닥 토닥토닥
나를 안고 울어주세요
두 번 다시 놓지 마세요
당신이 있는 곳에도
가을은 찾아옵니까
가을에 떨어진 낙엽은
메마른 내 눈물입니다
겨울날에 그저 하염없이
흰 눈이 내리는 것은
저세상에 못다 한 꿈이
부서진 이유겠지요
그리워 그리워라
서러워 서러워라
단 한 번 보신다면
맘 놓고 울고 싶어라
토닥토닥 토닥토닥
나를 안고 울어주세요
두 번 다시 놓지 마세요",신유,2019.03.28,269,성인가요/트로트
남은인생,"남은인생 남은인생 한번뿐인 인생
나를위해 살아 보는거야
지난세월 수고했다 내청춘아
날 위해 살련다 남은인생
잘 산다는게 따로 있나요
밥 잘먹고 살면 되는거지
낙원 이란게 따로 있나요
내 사람과 있으면 낙원이지
남은인생 남은인생 한번뿐인 인생
나를위해 살아보는거야
지난세월 수고했다 내청춘아
날 위해 살련다 남은인생
날 위해 살련다 남은인생
친구 라는게 따로 있나요
술이나 한잔 하면 되는거지
사랑 이란게 따로있나요
당신 손 잡고 함께 걷는거지
남은인생 남은인생 한번뿐인 인생
나를위해 살아보는거야
지난세월 수고했다 내청춘아
날 위해 살련다 남은인생
날 위해 살련다 남은인생",최현상,2019.04.11,90,성인가요/트로트
