제목,가사,가수,발매일,좋아요수,장르
이뤄야만해 (feat. JAEHA),"Maybe I was 열일곱
난 바로 짐을 싸고 나왔지
아직 그때 기분을 기억해
그때 세게 불었던 그 바람이
내 앞을 말해준듯해
난 Tried everything
또 많은 걸 지나
다시 제자리에
난 약속했지
이뤄 돌아간다고
걱정 말라고
아름다운 사람들과
밤이 내 곁에 있기에
난 이뤄야만 해
아등바등 살아왔잖아 계속 이렇게
그래 난 이뤄야만 해
Hi friend 나는 괜찮아
이뤄낸다 말했잖아
미안 나 요새 좀 바빠
뻥을 쳐 좀 쪽팔리잖아
포기하고 싶을 때가 많아 요즘엔
사라지고 싶어 걍 아무도 모르게
근데 자꾸 무너짐의 연속
그래서인지 더 단단해졌어
아름다운 사람들과
아름다운 곳에서
그 모습을 봐
어제와는 다른 모습을 fine
Say Good morning and
baby good night
돌고 돌아 난 또 어지럽게
이뤄야만해 이제 oh
아름다운 사람들과
밤이 내 곁에 있기에
난 이뤄야만 해
아등바등 살아왔잖아 계속 이렇게
그래 난 이뤄야만 해
난 기억해 19년도에 나를 기억해
시간이 없기에
난 이뤄야만 해
요즘은 어때
내가 변했다면 Im sorry
근데 난 기억해
여전히 여전하게 잃을 게 없기에
사랑 따위 잃어봤고
통장에 천 단위 찍혀봤고
죽을 각오하고 후회해봤고
근데 그 얘기도 이제 끝났어
아름다운 사람들과
꿈이 내 곁에 있기에
난 이뤄야만 해 uh
아름다운 사람들과
밤이 내 곁에 있기에
난 이뤄야만 해
아등바등 살아왔잖아 계속 이렇게
그래 난 이뤄야만 해
아름다운 사람들과
밤이 내 곁에 있기에
난 이뤄야만 해
아등바등 살아왔잖아 계속 이렇게
그래 난 이뤄야만 해",유토 (JUTO),2021.07.14,"1,801","랩/힙합, 인디음악"
A Tribe Called Jazzyfact,"everybody
we got the jazz
and we got the facts
get ready
let's get it started
we got the jazz
and we got the facts
everybody
we got the jazz
and we got the facts
get ready
let's get it started
we got the jazz
and we got the facts
쟤 이름은 시미 트와이스
성격은 nice
멋을 아는 여성들이 좋아할 타입
you can ask for a ride
but never cross lines
아주 아쉽게도 그는 품절남
when he kicks
when he hits the snare
and when he does a litte bit of
cut and paste
팬이라면 듣고 나선 maniac
엠씨라면 듣고나서 yeah
내 이름은 zino
he knows and she knows
이천십년 피쳐링 1호
스윙스 더콰이엇 도끼
또 king of flow
화요비 기석이와 민호
fuck that liquars
술이 너무 싫어
술자리가면 나는 매일 길을 잃어
술을 권한 여자들은 내 일기를 읽고
say aha 내게 먹히는건 cigar
everybody
we got the jazz
and we got the facts
get ready
let's get it started
we got the jazz
and we got the facts
everybody
we got the jazz
and we got the facts
get ready
let's get it started
we got the jazz
and we got the facts
uh we call'em jazzyfact
모든 신사들과 숙녀들은
wave yo hands
holla at ya boys
hey let's be friends
hut1 hut2 hut yes we can
come and shake yo hands
and your body too
뚱뚱한 여자들의 무다리도
옆집 아줌마가 말했지 살리고
그녀의 남편은 말해
i'm in love with u
빨리 말해줘 친구들에게
no doubt it's cool
just press play
이야기를 듣고 너의 삶에 대입해
고3은 놀땐 놀며 대입해
baby 걱정은 내일해
남자라면 특히 더
that's gay thang
너가 게이라면
girl i can understand
keep yo head up
all the lesbians
everybody
we got the jazz
and we got the facts
get ready
let's get it started
we got the jazz
and we got the facts
everybody
we got the jazz
and we got the facts
get ready
let's get it started
we got the jazz
and we got the facts",Jazzyfact,2010.10.26,0,랩/힙합
천재 (Behind the scene),"Give me the bass line
있어 보여 멋있어 보여
What's going on guys Hello
있어 보여 멋있어 보여
I put it all in the music
있어 보여 멋있어 보여
More time to get it right
있어 보여 멋있어 보여
Fanxy Television
Sorry my bro 밥 살게 진짜
약속 또 펑크 내고 작업실로 기어가
The orange lights 두 겹의 컵에
탄산수 가득 채우고
Let's do it something Aight
개쩔거나 개졸작이거나
퇴근길 내 입모양으로 알 수 있지
오늘 컨디션 별로라 뭐라도 걸려라는
심정으로 던져 영감의 미끼
From movies books music
문화를 변태처럼 더듬어
거들먹대는 내 모든 작품들
저 너머엔
특출난 척 용쓰는 멍청이가
건조해진 머리를 쥐어짜고 있네
Uhm 수고스러운 평론을
준비 중이라면
넣어둬 이 새꺄
Uhm 난 작업 당시에 충분히
내가 병신임을 체험해 이 새꺄
있어 보여 멋있어 보여
Well I don't think so you fools
너희처럼 I’m also normal
That's right 음악은 어려워
있어 보여 멋있어 보여
Well I don't think so you fools
There’s a lot of trouble behind
추측하지 마 이건 자기 비하
구상만 하다 하루를 통째로 날려
스트레스 받을 틈도 없어
한숨은 하품할 때 몰아쉬어
G major도 못 집던 놈의
과감한 터치는 없고
요령만 잔뜩 터득한 걸
화가와 작가 연기자와 음악가
다 빚쟁이 처지 작품을 독촉 받아
자뻑을 언제 했는지 기억조차 안 나
무지한 게 때론 창조적인 거 알아
우아한 백조의 발은 악착같이
물을 저어 현재 내 모습 같아
독특한 발상 그래 creative ideas
고통 속에 피우는 예술 감각
나 자체를 장르화
시키는 게 빠르겠어
앨범 단위로 mixtape
막 찍어내던 때로
이 또한 음악인의 자세
고 김광석께 경례
Still inspired by 김성재
있어 보여 멋있어 보여
Well I don't think so you fools
너희처럼 I’m also normal
That's right 음악은 어려워
있어 보여 멋있어 보여
Well I don't think so you fools
There’s a lot of trouble behind
추측하지 마 이건 자기 비하
I’m not a genius is no difference
I’m not a genius is no difference
That's for sure",지코 (ZICO),2017.07.12,"19,877",랩/힙합
불나방 (I’M ON FIRE) (Feat. Blue.D),"유리병 속에 담겨진 그대 편지
바다를 건너 나에게 돌아오리
슬퍼하지 말아요 My darling
내가 그리로 가리다 기다려주오
I'm on fire
We're going higher
I'm on fire
We're going higher
나는 불나방
언제나 고독해 킬리만자로
걸어가는 듯해 뙤약볕 쬐러
활활 타오르는 그대의 외로움
내가 달래 주고파 옆에서 Uh
닭똥 같은 눈물 내 손등
으로 슥슥 닦아 주리다
그대가 선인장
이더라도 얼마든지 안아주리다
Oh oh I'm so dangerous
너의 맘에 불을 지피고
난 뛰어들어 Say
Oh oh She's so dangerous
그 속으로 몸을 던지고
I'm on fire
오르락내리락해
We're going higher
나는 불나방
I'm on fire
너에게 날아갈래
We're going higher
나는 불나방
Wait a minute
hold up wait a minute
애타게 만들고 어디가 Stay with me
왜 이러니 내게 왜 이러니
노란 입술 자국만 아련히
밀고 당기지 말아
난 오직 한 곳만 보고 날아
더듬이는 엘로드 그대만을 찾아
누가 우릴 막아
불꽃 속으로 난 활공
Oh oh I'm so dangerous
재가 날려도 날갯짓을
멈추지 않고 Say
Oh oh She's so dangerous
그 속으로 몸을 던지고
I'm on fire
오르락내리락해
We're going higher
나는 불나방
I'm on fire
너에게 날아갈래
We're going higher
나는 불나방
자다 깨길 반복해
불안함 늘 내 옆에 있어
어둠 드리우지 않기를
그대 손과 두 눈이
영원히 빛나길 기도해
해가 떨어지지 않기를
La La La La La La La
La La La La La La La
불이야 불 Call me up no 119
불이야 불 후하후하 여기 쉬어줘
불이야 불 Call me up no 119
불이야 불 후하후하 옆에 있어줘",은지원,2019.06.27,"25,987",랩/힙합
"ZONE (방찬, 창빈, 한)","여
난 매일 해 뜨면 더 level up 해
Ma zone like a kingdom Odin
내 구역에서 놀지마
버려 멋부림 센 척하지 마
그래 through that 존심
3RACHA make 돌풍, 누가 쉽게 오겠어
여긴 nobody body can touch this
일단 여기에서 말할게 오지 마
여긴 우리 자리니까 whoooo
누가 또 우리 구역에 와서 ey
행패를 부려 이놈의 자슥 ey
하나 더 늘겠군 셰익스피어의 비극
지금이라도 나가는 게 어때요 babe
Y’all already know that 몇 달간
밤새워서 만든 우리만의 요새를
딴 놈에게 뺏길 수는 없잖아
그래서 이 악물고 지키는 거야
누가 뭐래도 I will always protect
난 매일이 전쟁
항시 대기하는 공격 자세
아마 이 말은
허세로 들릴 수도 있겠지만
다 물어뜯어 버려 버려 버려 사납게
으르렁대고 재껴
매섭게 날려 잽을 뺏어
내 땅을 다시
take it back to me 땍땍
거려봤자 I don’t give a what
묵묵히 자리 지켜내 zone
I look up ahead, nobody,
nobody can’t stop me
I’ll show you the way
so follow my, follow my lead ey
야 남들과는 다르게 (다르게),
야 누구보다 새롭게
Ey hold up, hold up
Can’t you see I’m in my ZONE
Can’t you see I’m in my ZONE
(Can’t you see I’m in)
Kia Rite! Kia Rite! Kia Rite! A,
upane! Ha!
Kia Rite! Kia Rite! Kia Rite!
Ka, upane! Ha!
다 잘 때 달아올라 내 일터
어두운 도심 속 다크나이트
하비 덴트의 반쪽
SPEARB의 동전 던지기 놀이
내 동전은 백프로 killing
내 벌스를 죽여
수천만 대중의 귀를 빌려
내 목소릴 모니터
내가 들어도 좋아 소리쳐
이거보다 나은 건 없어
nothing better
My zone 이곳에서 헤엄쳐
즐거우면 됐지
뭘 더 바래 더 안 바래
Ain’t nobody do it like this
난 디스 못해
나 스스로 디스 아닌
작업물과 피드백
주고받아 매일이 난 비슷해 지겹단
의미보단 긍정의 의미야
왜냐 매일 축복받아 ey
내 곡들을 봐라 uh
위험해 We don’t play
진지하게 한번 가보는 이번 track
아무런 이유 없인 갈 필요 없어
아무런 이유 없인 살 필요 없어
근데 내가 가는 데 있어
내가 사는 데 있어
이유가 충분하다 못해 넘쳐
I look up ahead, nobody,
nobody can’t stop me
I’ll show you the way
so follow my, follow my lead ey
야 남들과는 다르게 (다르게),
야 누구보다 새롭게
Ey hold up, hold up
Can’t you see I’m in my ZONE
Can’t you see I’m in my ZONE
(Can’t you see I’m in)
Kia Rite! Kia Rite! Kia Rite! A,
upane! Ha!
Kia Rite! Kia Rite! Kia Rite!
Ka, upane! Ha!",Stray Kids (스트레이 키즈),2022.12.21,"3,485",랩/힙합
Broken World (Feat. Jayci Yucca),"you don't know how to bet
떠나가라고 외쳐 난 밤에
가면을 쓰는 이유 눈물 때문에
이런 나를 너가 안봤음 해

만약 내 세상에 온다면
너가 내 아픔을 본다면
정말 행복하겠니
It's broken world

I've been fucked up a lot
kick up a notch, while u flex
나를 이용할라는 아이들 많아
so I'm your dad
주변 피를 흘린 형제들과 나누는데
너의 몫이 어딨냐 묻지 마 before I cut your necks, ay

VVS chain, 발목에 잠겨진 so thick
내가 챙겨야 할 사람들이 많아 고민
친구라는 녀석들은 from the 슬리데린 they snake
where was u? 내가 미친 듯 힘들 때 where was u?

내 상처 뵈긴 해? do you know my pain?
이제는 뭐라는지 몰라 친구 whachu sayin?
내 옷과 시계, 니 눈엔 fancy 해
그러니까 못 보지 내 눈에 핏물 whole lotta red

넌 내 신을 못 섬겨 cuz It's me
livin in broken world, 그래서 난 band-it
fuck about the pearls and money that's same shit
내게 돈은 아무것도 아냐 인정이 맨 위, u lame bitch

you don't know how to bet
떠나가라고 외쳐 난 밤에
가면을 쓰는 이유 눈물 때문에
이런 나를 너가 안봤음 해

만약 내 세상에 온다면
너가 내 아픔을 본다면
정말 행복하겠니
It's broken world

각자의 사정 아무렇지 않은 듯
난 힘을 써서 줘도 너넨 얻고 나면 끝
3, 4, 5 못 멈춰 나는 늘
나란 숲속에 발목을 잡는 늪

bitches 원해 나의 carry
난 아냐 automatic
뱀이 따라오는 걸 보니 맞나 봐 피리
이미 친구들은 나눠 우리끼리 안 해 절대
아픈 길을 걸어왔으니 알거든 fuck the hell

돌려봐 내 필름
몇 번을 말했지만 너가 내 신을
신고 너도 느끼기를
스물여덟 번에 상처의 의미를
애써 웃음 짓고 아닌 척
했지만 그래 있어 정신병
안 살래 지금처럼
너에게 말하는 나의 world

you don't know how to bet
떠나가라고 외쳐 난 밤에
가면을 쓰는 이유 눈물 때문에
이런 나를 너가 안봤음 해

만약 내 세상에 온다면
너가 내 아픔을 본다면
정말 행복하겠니
It's broken world",Skinny Brown,2021.09.25,"3,638",랩/힙합
You gotta know for me,"긴 통화음 뒤 숨은 너에게
난 고해를 해
긴 하루를 보낸 나에 대해 봐달라구
난 말을 아껴 매일 난 적이 많았기에
간밤에 잠을 설쳤지만 당연함 이젠
넌 날이 서 있지 고까워 모든 게
넌 감정을 숨기는 적이 없지
내게 오해를 하고
오해라고 말해도 매번
귀를 막고서 듣지 않고 눈을 가려
문제를 내지 또 보란 듯이
거짓말로 꾸민다고 말해 넌 계속
그대로 출구는 찾지 못해 길 잃겠어
이젠 enough for me
이젠 enough for me
시간 없지 우린 이러는 데에
더 나은 대화들이 필요해
You gotta know for me
You gotta know for me
난 알아두길 바라지도 않아 많은 걸
날 몰라주면 멀어질 뿐 이런 놈인 걸
You gotta know for me
You gotta know for me
둘이면 나을지 알았지만
둘이라서 난 괴로워
딱 괜찮아질 때쯤 오는
니 추궁에 삼키던 ADDERALLS
제발 웃기지마 이 약보다
니가 백배는 더 해로워
떨어져있었던 시간은 똑같잖아
너만큼 나도 외로워
FUCK IT NO MATTER WHAT
BABY DONT MESS WITH MY HEAD
JUST LIKE I SAID THATS MY BAD
몇 번을 다시 말해야 해
SWEAR TO GOD IM NOT PLAYIN
LISTEN TO WHAT I SAY
더 이상 날 모르겠다지만 넌
너부터 알아야 돼
YOU BETTER KNOW
THAT I GAVE YOU ALL MY LOVE
CAUSE I THOUGHT YOU WERE THE ONE
너가 갖고 싶던 것만 알았지
알려고 한 적 없어 WHAT I WANT
이해뿐이야 내가 원한 건
YOU TRYNA TALK NOW
WELL IM DONE
DO YOU GET IT NOW
WE'RE NOT CLOSE NO
IT'S JUST CLOSED OH
우린 서로 한시간도
안되는데에 살지만
분명히 있잖아 시간과 온도의 차이가
SORRY THAT I MADE YOU CRY
BUT I BET YOU KNOW HOW TO DRY
시간 없어 이젠 이런데에
난 그저 대화들이 필요했어
You had to know for me
You had to know for me
난 알아두길 바라지도 않아 많은 걸
날 몰라주면 멀어질 뿐 이런 놈인 걸
You had to know for me
You had to know for me
Baby 널 안으면 세상을 다 가진듯해
그래서 내 야망들이 사라지는 듯해
너 하나로도 이렇게
내 품이 가득한데
내가 너무 큰 꿈을 품으려 했나 싶어
하지만 너를 보내고
작업실로 나가면
잘 나가는 내 친구들
다시 나를 일깨워
뒤쳐지는 내 모습
내야 해 얼른 앨범을
보고싶단 너의 말
자꾸만 나를 괴롭혀
Baby 내 마음 약하게 만들지마
불안한 내게 도망칠 핑계를 주지마
내 친구들 다 flex
양팔에 알통 필요해 브래지어
물렁한 내 팔 베고
꿀잠 자는 널 보면 난 우울해져
무능력한 난 판사 앞보다
친구들 앞에서 더 죄인이야
근데 너 하나만 바라보라니
니가 무슨 직캠이야
도망 칠 수 없어 니 품으로
난 살기 싫어 겁쟁이로
나는 가야 해 더 앞으로
Baby please leave me alone
난 니 사랑만으론 부족해
나에겐 니 세상 전부가 필요해
You gotta know for me
You gotta know for me
난 알아주길 바라지도 않아 많은 걸
날 몰라주면 멀어질 뿐 이런 놈인 걸
You gotta know for me
You gotta know for me",실키보이즈 (SILKYBOIS),2019.12.29,"4,786",랩/힙합
Acid Fly (feat. CAMO),"I just stayed down
till I came up So long
바람속에 내가 사라져도
그저 날아다니고 숨쉬어 또
Got my hands in the air
No one hold on
I just stayed down
till I came up So long
바람속에 내가 사라져도
그저 날아다니고 숨쉬어 또
Got my hands in the air
No one hold on
I’m never gonna fail
No one can understand
내 모습이 변해
아직 내 갈길은 머네
사라지기 전에
하던 것 처럼해
매일이 새롭게
또 내 머린 어네
Cannot find you anymore
지난 바람처럼
내게 쏟아지는 수많은 말들 처럼
환각은 내면을 보게해 날
날게 내버려둬 이 대기 안
내 모든게 변해 이 방안은 이미
가득 차있어 나를 깨울 연기
나만 남아 아무도 없는 거릴
걸어 난 또 걸어 난
I just stayed down
till I came up So long
바람속에 내가 사라져도
그저 날아다니고 숨쉬어 또
Got my hands in the air
No one hold on
I just stayed down
till I came up So long
바람속에 내가 사라져도
그저 날아다니고 숨쉬어 또
Got my hands in the air
No one hold on
날아가지 저 높이
Puff Effie랑 같이
유난히 반짝이는
니 두 눈을 속였지
난 사람들이 어려워서
이런 내가 너무 미워져서
이해를 바라지 않아
You know I’m on to this shit
I’m gone after this
Beyond all this shit
난 보여
목소리가 난 보여
위에서 너를 보며
되려 맘이 많이 애려
Puff puff linking trees
We’re not doing this for treats
What’s your favorite type of tea
들이마셔 끝까지
신경쓰면 안되지
Cuz they see what they believe
They believe what they see
날아가자 저 높이
I just stayed down
till I came up So long
바람속에 내가 사라져도
그저 날아다니고 숨쉬어 또
Got my hands in the air
No one hold on
I just stayed down
till I came up So long
바람속에 내가 사라져도
그저 날아다니고 숨쉬어 또
Got my hands in the air
No one hold on",Effie,2021.08.25,"2,715",랩/힙합
12월이 되면,"찢어버려 버린 내 2020 plan
세워 놓은 내 계획 중 이뤄낸 건 없고
12곡짜리 쩌는 믹스테잎
주마다 한 곡씩 내겠다던 내 약속
원인 모를 병 땜에 버린 2020
떠나보낸 사람도 사랑도 많았어
1년 전이네 내가 낸 마지막 트랙
이건 게으른 내 핑계 때문인 거지 뭐
올해 난 대 여섯 달을 술잔만 비웠네
그때 난 바쁜 척하기 바빴지만
서너 달을 알바 하는데 모두 썼네
그때 내 삶은 정말 바빴지만
또 몇 달을 사랑한 널 보내줬네
넌 미련 없이 내게서 떠났지만
지원했던 곳은 모두 떨어졌대
상금 500짜리 대회는
내가 걷어찼지만
12월이 되면 설레는 게
난 아무 일 없을 걸 이미 아는데도
기대를 했지 난 기대를 했지
연말이 돼도 내 불행한 매일
난 잃은 게 너무 많았지 이번 해에는
내년엔 되길 너도 나도 잘 되길
매번 25일에 혼자 있는 게 난
익숙해져만 갈 때쯤 어른이 되나
선물은 뭔 애야
내가 뭘 바라는 건 죄야
텅 빈 방 불빛 위 책상 이게 내 무대야
외로움이 무뎌지게 이렇게라도 해야
잊을 수 있을 테야
돌리고 싶은 나의 태엽
이젠 내 관심 밖이잖아
너네들이 뭘 하던지
방 하나 잡아 사랑을 하던지
1년이라는 시간은 빠른데도
연말의 시간은 왜 이리 안 가는지
괜찮다며 왜 눈물이 나는지 난
혼자가 편하다던 내 말은 거짓말
내 삶이 행복하기를 바랐지만
내게는 너무 과분한 바람이야
12월이 되면 설레는 게
난 아무 일 없을 걸 이미 아는데도
기대를 했지 난 기대를 했지
연말이 돼도 내 불행한 매일
난 잃은 게 너무 많았지 이번 해에는
내년엔 되길 너도 나도 잘 되길",윤누구,2021.12.01,423,"랩/힙합, 인디음악"
Outro : Love is Not Over,"그 긴 밤이 널 따라
흘러만 가는 것 같아
이 시간이 널 따라
흐려지는 것 같아
왜 멀어져 가
왜 닿지 않을 만큼 가서
Tell me why 멀어져 가 Why
니 눈엔 더 이상
내가 보이지 않니 Uh
사랑이란 아프고 아픈 것 Yeah
이별이란 아프고
더 아픈 것 같애
니가 없으면 난 안될 것 같아
사랑해줘 사랑해줘
다시 내 품으로 와줘
사랑이란 아프고 아픈 것 Yeah
이별이란 아프고
더 아픈 것 같애
니가 없으면 난 안될 것 같아
사랑해줘 사랑해줘
다시 내 품으로 와줘
Love is not over over over
Love is not over over over
Love is not over over over
Love is not over over over
사랑이란 아프고 아픈 것
이별이란 아프고
더 아픈 것 같애",방탄소년단,2015.04.29,"71,148",랩/힙합
