제목,가사,가수,발매일,좋아요수,장르
자화상 pt.2 (Fake) (Prod. by BewhY),"래퍼 중 제일 한심한 놈
제발 걸작인 척하지 마 좀
예전이나 지금이나 미완성
항상 쓸모없는 인간이야 넌
야망과 소망은 전부 거짓된 것
현실에게 가려지게 될 거야
피할 수 없어
넌 꿈이 아닌 현실 가운데 살기에
우리는 타협해야만 하는 존재
세상을 따라가야만 하는 존재
꿈은 이뤄진다는 말
이 말의 뜻은 말이야
바로 현실과 손잡기
소망의 성취 따윈 절대 없어
내 조언을 듣고 벗어 꿈의 콩깍지
너란 존재는 지구 밖에서 보면
절대로 보이지도 않아
가치를 매긴다면 그저 그냥
수많은 점들 중에 하나
지금 네 꿈과 열정은 한낱
스쳐 지나가 사라지는 바람
편하게 생각해 과거의 추억으로만
넌 남을 테니 말이야
Fake
You fake
You just fake
Fake
열등감 덩어리 평생 비교 당할 만 해
그 누구도 너는 절대로 안 따라가네
하찮은 영혼 아무도 너를 너조차도
너를 인정 못 하잖아
언제나 구속된 삶 거짓 자유를 외쳐
헛된 길을 가 진리는 지금도 내일도
없어 내가 내 삶의 주인이 되어
내 의지대로만 살아가야 돼
신은 허상일 뿐
네가 믿는 건 말도 안 되는
거짓된 이야기꾼
Wake up wake up wake up
애써 보이지 않는 걸
믿으려 해 넌 왜 또
진짜 내가 볼 땐 너무 우스워서
배꼽 잡게 만드네 또 또 또
우린 창조물이 아니야
계속 진화해 가고 있네
우리 삶은 죽음이 끝이니
너의 삶을 쾌락을 위해서 누리게
네 나약함으로 인해
인간이 만든 존재에 대체 왜 기대
한심하기 짝이 없지
신이 될 수 있는데
그 사실을 왜 회피해
거룩한 척하지 마
네 가면은 언젠가 들통나게 돼 있어
역겨워 너의 삶 속에서
매번 나타나게 되는 너의 위선
네 안의 죄가 씻긴다는 건
불가능해 신이 있다고 해도
더러운 널 보지도 않을게 분명해
그는 영원히 네 멀리에 있어
Fake
You fake
You just fake
Fake
난 꿈을 꾸는 자
이게 바로 나의 정체성
불가능한 꿈을 꾸지만
가능하다 믿어 누가 뭐라건
겉으로 보기에 현실이 나를
지배하는 것 같다는 생각을
하는 순간에 나는 분명하게
지배당할 거라고
내가 원하는 길을 갈 권리가 있어
나의 소망 안에는 나의 상상
이상의 계획이 머무르지
내 무릎이 땅에 닿아도
아주 엎드려지지 않아
너에겐 미안하지만
난 꿈의 콩깍지를 절대 벗지 않아
너의 비아냥거림과
걱정으로 위장한
사탕발림한 가득한 거짓말
I don‘t give a uh
내 죄들은 이미 사하여졌어
새로운 사랑과 축복으로 인해
내 아침엔 난 다시 나음을 입어
난 네가 말하는 것과 달리
내 가치를 알아
특별하고 고귀함을 가진
단 하나뿐인 자녀임을 말이야
생명 안에 우주 우주 안에 지구
그 안에 하나밖에 없는 내 지문
무지 많은 피부 중에 노랑임을
난 내가 밟은 이 땅의 희망임을
언제나 확신해
미래가 보이지 않아도 돼
제3의 눈은 존재도 필요도 안 해
내 영혼은 알아 영원히
God makes no mistakes
God makes no mistakes
God makes no mistakes
God makes no mistakes
내가 가진 재능과
어떤 내 조건이 아닌
내가 숨 쉬며 산다는 사실만으로써
박수받을 만한 자격이 있어
사랑받을 만한 자격이 있어
삶을 선물로 받은 걸 당연하게
난 절대 여기지 않을래
나를 위해 창조된 이 땅 위에서
만물은 나만이 가진
아름다움에 반응해
나는 내 존재 이유를
확실하게 아는 애
죽음은 절대로
끝이 아닌 걸 죽는 날엔
나는 제일 편하게 두 눈을 감을래
죽음은 끝이 아닌 걸 죽는 날엔
나는 제일 편하게 두 눈을 감아",BewhY (비와이),2016.07.16,"14,860",랩/힙합
만나요 (silly dream),"이젠
내 꿈에 나오지 말아줘
오늘도 난
눈물로 다시
집에
들어와 잠에 들 때면
아무 일 없이
눈을 뜨기를
뭐가 맞는 지도
다 필요 없고
시간이 날
안아 줄거야
그리움의 꿈만큼
개꿈이 있을까
끝끝내 못한 이야기
꿈속에서 만나요",얼돼 (Errday Jinju),2023.02.07,59,"랩/힙합, 인디음악"
Not Venus (Prod. Blumajic),"alcohol lead us alcohol lead us
너의 아름다움을 난 fuck it up
you want doamonds and zeros
doamonds and zeros
oh nah nah nah nah nah nah nah
but you're not venus not venus
넌 원해 platinum platinum
널 옆에 두기 위해 서라면 더욱
그건 대화 자체가 성립이 안 돼
넌 너무 꽉 끼는 바지에
너의 내면을 숨겨 놓고
거짓말 하지만 나에게
난 그게 상관없어
난 크게 상관없어
미안해 안 해도 it don't matter
일회용 짜리 manner
넌 이미 알고 있어
넌 이미 알고 있어서
딱 그만큼 하고 있어
너무 취해서 넌 두개로 보여
문제도 두 배 결국
할 수 없이 들어 cup
i ain't lookin for real love
넌 lookin for real love
어지러움이 더 오는 것 같아서
너의 입을 막았어
얘기는 필요 없어
돈 얘기 아니면 더
난 계속 sippin' for you
sippin out fuckin' a 2
아무리 집착해도
넌 내걸 받아들이지 못해
왜냐면 넌
not venus not venus
넌 원해 platinum platinum
you want doamonds and zeros
doamonds and zeros
oh nah nah nah nah nah nah nah
자기야 넌 not venus not venus
넌 원해 platinum platinum
널 옆에 두기 위해 서라면 더욱
그건 대화 자체가 성립이 안 돼
you you what you want
baby what you want
조금만 가까이 더
와서 말해줬으면 좋겠어
잘 들리지 않아 들리지 않아
그럼 너는 그런 나를 다시
데리고 모든 걸 다 태워 burn
난 니가 원하는 걸 해 for you
시간도 원한담 spend for you
목숨도 걸겠단 말도 ture
신호 떨어지면 동시에
i fuck with you
넌 계속 밖에서 거짓말해도 돼
그게 날 계속 엿 먹이게 해도
지금 이 술이 다 깨진 다 해도
넌 항상 이쁠 테니까 날 원해줘 더
oh baby 더
너가 원하는 건 전부
i mean quap
과민반응 하는 것도
다 안아 줄 수가 있어
널 이해 못 하는 게 있어도
넌 not venus not venus
너의 아름다움을 난 fuck it up
you want doamonds and zeros
doamonds and zeros",김승민,2018.07.26,"3,643",랩/힙합
Waltz,"Yello who am I
Im a B e w h Y
내가 누구겠냐
I'm so nice yello asian
Throw ya $.$T signs up
All Eyes on me
Throw ya $.$T signs up
All Eyes on me
I go by the name of
BewhY Im so nice Yello
나를 처음 딱 들었을 때부터
느끼지 천부적인 Talent
C Jamm의 뒤를 이을 대물
너가 겪게 될 건 멘붕
내게 주목하는 니 Fan들과
All Camera’s Angle
난 괴물 Alien Predater
Freddy & Jason
니 죽음을 조심해 난 나열된
이들의 합체물
누구에겐 상상 조차 안 되는
motivation
너에게는 날 제대로
아는 것이 힘이다 #베이컨
이제 열폭 하는 너와 함께 다들
나를 기억 하겟지 B e double u
h Y call me bewhY 나로인해
더 타들어가는 반응
봄 여름 가을 겨울은 없어 오집
여름이게 여기를 뎁힐 나의발음
공연장에 불이나면 소방대원들은
제일 먼저 진압하지 나를
Yello Glad to meet U
I am from 인천 as known as 미추홀
이곳에서 전설로 만들어져 가는
나와 내 식구
이 노래가 끝난 후에 난 니들의
The hottest issue
이건 나를 위한 춤곡
미래를알고 춤춰
너와 난 끊임없이 꿈꿔
허나 내겐 안 쌓이는 눈꼽
차렷 열중쉬엇
날 막으려면 필요한
여러 개의 숨통
숨죽여 나의 편만 전부 put ya
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
You call me BewhY
That's right 그게 나지
불가능과 한계라는 녀석에게
나는 마치
대학살을 준비 칼과 총과
핵은 사치
지배하기 위한 무기는
오직 한 가지
바로 확신 이걸로
내 미래를 내 것으로 만들어
단 한번도 본 적 없는 것을
가진듯이 행동해 함부로
날 부러워하며 열등하는
놈들은 딱 싸이즈가 뽑혀
현재와 미래보단 과거에
더 집착하는 놈이여
난 현재를 갖고 미래를 창조
I run I don't stop
무엇을 하던 잃은 것은 없는
젊은 나이고 날 점 치려하는
헤이러들의 면상은 질투로
분홍 빛이 되지 마인부우
그들에겐 난 초싸이언
5 혹은 싸이보그
한계는 매번 내적 but
절대로 안 외쳐 never
난 매일 또 내 매듭을 매고
새로운대를 개척 해대며
내 꿈을 뱉어
Don't remember name of bewhy
날 기억하려 안 해도 되 Cuz
난 최고가 될 놈
세계를 패고 팰 놈
내 소갠 계속 될 테니까 Forever
이건 나를 위한 춤곡
내 미래를 알고 춤춰
너와 난 끊임없이 꿈꿔
허나 내겐 안 쌓이는 눈꼽
차렷 열중쉬엇
날 막으려면 필요한 여러 개의 숨통
숨죽여 나의 편만 전부 put ya
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
이건 나를 위한 왈츠곡
Im definitely in ma zone
내가 드러나는 순간
여기에 판도는 바뀌어
난 밷는 대로 됨을 믿어
끊임없이 꿈을 키워
안 된다고 해도 계속 밀어
꿈이 크면 대체 뭘 잃어
무언가를 얻지 못 해도 난 걷지
믿음으로 역시 주님께 맡겼지
그가 원한다면 가고 아님 말어
이미 축복받은 내 인생을 살어
허나 내 행동이 신이 있단
증거가 되게끔
멈추지 않고 부딪힐거야
골리앗과 홍해 앞에서
Tell me impossible something
Yelloz Let’s just wait for me
이건 나를 위한 춤곡
내 미래를 알고 춤춰
너와 난 끊임없이 꿈꿔
허나 내겐 안 쌓이는 눈꼽
차렷 열중쉬엇
날 막으려면 필요한 여러 개의 숨통
숨죽여 나의 편만 전부 put ya
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me
Hands up Welcome to ma rhythm
Shall we dance for me",BewhY (비와이),2014.06.23,"15,581","랩/힙합, 인디음악"
#beer,"baby we can have bottle full of soju
i can sing a song for you im so 上手
you can lean on me 볼래 너의 다른 모습
나는 알고 싶어 honey what you like the most

오늘 밤 비어 come over here
지갑은 두고와 all we need is some beer
오해는 말어 all i need is you baby
딱 보면 티가 나지 just flirting
말을 안 해도 알 것 같아 want it too
너도 원하잖아 오늘 밤을 i can give it to you

come here oh dear grab some beer
우리 집 오늘 비어 we can chill
can u feel my heart beat
so quick
so quick
like an earthquake, earthquake

come here oh dear grab some beer
우리 집 오늘 비어 can i kiss on your cheek
baby all i need is you
all i need is you

너에게로 가는 길이 너무 멀어 i’m just drowning
all i think about is you 이젠 널 위해 all in
우리 집이 코트라면 i’ll be stephen curry
너에게로 골인 i think im bout to fall in love with you

넌 남들과 다른 , way you talk 뭘 하든 간에
여자들은 너를 보고 따라 하기 바빠 너는 이 시대의
leader baby you the scene stealer

그런 널 오늘 우리 집에 초대할게
그래 널 잡을 거야 겁나 자연스럽게

come here oh dear grab some beer
우리 집 오늘 비어 we can chill
can u feel my heart beat
so quick
so quick
like an earthquake, earthquake

come here oh dear grab some beer
우리 집 오늘 비어 can i kiss on your cheek
baby all i need is you
all i need is you

넌 아직도 내 맘 모르겠니 why u so stupid
술 한 잔이 우리의 cupid 너가 돈이라면 나는 워렌버핏
아침엔 술 대신 가볍게 coffee 한 잔 했음 좋겠어
u know what i mean girl
오늘은 늦었어 멍하니 서있지 말고

너에게로 가는 길이 너무 멀어 i’m just drowning
all i think about is you 이젠 널 위해 all in
우리 집이 코트라면 i’ll be stephen curry
너에게로 골인 i think im bout to fall",KURO,2019.07.14,"5,539","랩/힙합, 인디음악"
Love Paradox (Feat. Ash-B (애쉬비)),"넌 애초에 날 사랑하지 않았던 거야
못해 네 체면 보다 네 친구보다
난 항상 뒷전이었는데 어디 가
감정 없이 결혼을 약속하고
억지로 웃는 척을 했지 또
소중하니 마음이
어떻게 없겠어라며
핑계잖아 병신아
난 너를 하나도 몰라
넌 나를 빠짐없이 다 알아
난 너를 난 너를
난 너를 하나도 몰라
넌 나를 빠짐없이 다 알아
난 너를 난 너를
망할 네 친구들과 차라리
뒷담화 까 듣든지 말든지
탓하진 말고 또 뜨뜻미지근한
너보단 뒤태 개 쩌는
American Girl
Blind를 내릴까 보다
꿈 따라 매일이 가뿐히
꼰대라 머리 아프니
교회 가서 너의 운명을 찾아
겹겹이 쌓인 너의 화장
너를 감추고 감춰둬 안 죽어
한두 번 하다 평생 그렇게 살아
No I don't wanna 번지
나는 살아 현실
네 입술은 거짓
네 입술은 거짓
난 너를 하나도 몰라
넌 나를 빠짐없이 다 알아
난 너를 난 너를
난 너를 하나도 몰라
넌 나를 빠짐없이 다 알아
난 너를 난 너를
미안해라는 말
네가 듣고픈 거겠지
야 너도 잘한 건 없는데 뭘 그래
너도 애초에 날 가볍게
생각했던 거 알아
근데 너 왜 이제 와서
내게 빠진 거니
우리 관계는 원래 그 정도였어
난 너를 난 너를
사랑했던 적 없어",래원 (Layone),2019.12.23,"5,688",랩/힙합
Feel Like (Prod. IVY GROUND),"You Feel like
이른 아침 Cafe에서 먹는
Coffee와 Donut
오늘도 그댄 평소처럼
여전히도 이쁘네요
아메리카노 물론 최고죠
But 알러지 때문에 난 안돼요
근데 네가 좋다 하면 난 반강제로라도
너의 취향에 맞출게요
I like 말똥말똥한 두 눈에
빨간색의 입술
빈말 안 하는 타입인데
우리 해볼래요 Kiss
아마 이상할 거예요
날아갈걸 그대 기분
언제 이렇게 또 이쁜 너와
할 수 있을까
아마 그댄 들어봤나 몰라
나의 그 Mixtape
왠지 그대 취향일 거 같은데
들어볼래요
혹시나 라도 맘에 안 들어도
계속 들어줘
네가 집중하는 표정까지도
난 계속 보고 싶기에
내가 사랑에 눈 먼 것 같아요
그댈 보면 볼수록 보고 싶죠
너의 버릇까지도
이제 내 취향이 됐죠
Girl you say 말해줘
너도 날 원하고 있다고
너와 꼭 같이 하고 싶어 You
너를 위해 만든 Paradise
네가 가지고 싶은 걸 가져와
네가 좋다 하면 초콜릿도 난 Ok
두 눈 꼭 감고서 먹어 볼게
주변 Cafe도 알아놨어
그밖에도 네가 완전
좋아할 것 같고 더 말할 거 같고 이제
내 옆에서 안 도망갈 것 같아
새빨개진 얼굴로
나를 안아줘요 Babe
항상 그대 곁에서
난 절대 안 떨어질래
난 보 보 보 만 내
넌 가위 가위 가위
우리 서로 내지 말자
Bye Bye Bye
셀 수 없이 많고 많은
이 사람들 중에서
어쩜 우린 이렇게도
우연히 만났을까요
지저귀는 새소리도 I like it
이른 아침부터 나를 설레게 해
내가 사랑에 눈 먼 것 같아요
그댈 보면 볼수록 보고 싶죠
너의 버릇까지도 이제 내 취향이 됐죠
Girl you say 말해줘
너도 날 원하고 있다고
너와 꼭 같이 하고 싶어 You",104 (백사),2021.10.04,678,"랩/힙합, 인디음악"
"ROWROW (Feat. JAEHA, Street Baby)","Baby hit me up if you want me back
Let's talk about love
till the sun rise yeah
Baby tik tok 시간이 부족해
I want your body back
우리의 body talk (body talk)
Let’s turn it on (turn it on)
우리의 body talk (body talk)
I’ll take you to the sunrise yeah
Baby 알려줘 너의 recipe
전활 걸 테니까 켜둬 전화기
I know what you want
I'll get you for free
I'll let you 밤새 play with me
너의 밤에 너의 소리를 알려줘
잠에 들기 직전까지도
Baby I'm about to 다시 fall in love
우린 더 makin’ moves
너가 없는 모든 날이 Monday
너가 걷는 모든 길이 runway
난 학생이고 너가 나의 선생
Baby I want your body back
Baby hit me up if you want me back
Let's talk about love
till the sun rise
Baby tik tok 시간이 부족해
I want your body back
우리의 body talk (body talk)
Let’s turn it on (turn it on)
우리의 body talk (body talk)
I’ll take you to the sunrise yeah
If this shit is love
Baby u got out my heart
You the one I want
When it comes to making love
널 떠나보내고 지워봐 전화번호도
해야지 뭐라도 그래서 돈을 벌어도
돌아오더라고 넌 그리고 나는
받아주더라고 널
그 사이에 다른 여잘 만나봐도 널
계속 찾게 돼 어쩔 수 없더라고
Baby 우린 만나면 항상 싸워
Baby just go and take a shower
Baby oh ur body’s like a artwork
Baby 우린 밤새 몸을 나눠
Baby for hours and hours
How was it Bae u my flower
날 만나기엔 넌 아까워
그래도 져줘서 고마워
Baby hit me up if you want me back
Let's talk about love
till the sun rise
Baby tik tok 시간이 부족해
I want your body back
Baby is it love
Is it love
Is it love
Baby I want your body back",BOYCOLD,2022.07.14,"1,451",랩/힙합
니가 깨기 전에,"난 너밖에 없어 baby
너무 뜬금없는데
해야 할 것 같아
네가 깨기 전에
난 너밖에 없어 baby
랩하다 이걸 적는데
할까 말까 하다가
네가 깨기 전에
써 네가 깨기 전에
써 해가 뜨기 전
난 래퍼 이전에 네 남자라
해야 할 것 같아
네가 깨기 전에
써 쓰다 지우기 전에
써 때려치우기 전에
난 래퍼 이전에 네 남자라
해야 할 것 같아
네가 깨기 전에
바람피우지 말아 달라는 게 네 바람
사랑 너랑 하고 딴 *이랑 한 가사
가 자랑인가 난 자랑인가 봐
자랑이 아냐 내 사랑은
너고 난 늘 나쁜 쾌락 자극 찾는 ***
못 끊는데 약도 끊겠다 거 참으로 잘도
차라리 개가 끊겠지 똥을
원하는 거 다 줄게
tell me what u want it
난 화나 아직도 그*들이
입고 먹고 누리는 것들이
없어 대체 왜 너한테
u r ma princess 못 믿겠으면 거울한테
물어봐 (거울아 거울아)
who's da hot (세상에서)
아니지 아니지 (누가 제일 예쁘니)
who's da gorgeousest
SAYY
미안해 잠깐만 들어봐 나 원래 엉망진창
에다가 몇 없는 진짜 새끼인 걸 알잖아
mmm도 크흠 그렇게 만들었잖아
몰래 너 몰래 쓴
그게 만들었잖아 money 마니
원래 너 원래 너는 원래는 무슨 뭐래
울지 말아 줘 이제서야 깨달았어 여태
내가 얼마나 남자답지 못했는지
insta 지울까 하니까
대답이 '일은 해야지 자기'
damn i lose
난 너밖에 없어 baby
너무 뜬금없는데
해야 할 것 같아
네가 깨기 전에
난 너밖에 없어 baby
랩하다 이걸 적는데
할까 말까 하다가
네가 깨기 전에
써 네가 깨기 전에
써 해가 뜨기 전
난 래퍼 이전에 네 남자라
해야 할 것 같아
네가 깨기 전에
써 쓰다 지우기 전에
써 때려치우기 전에
난 래퍼 이전에 네 남자라
해야 할 것 같아
네가 깨기 전에
돌아올게
네가 깨기 전에
늘 네 옆에서
네가 깨기 전에
지켜볼래
네가 깨기 전에
이쁜 꿈 속에서
네가 깨기 전에
사랑해",unofficialboyy,2023.02.07,281,랩/힙합
우리 같이 해요,"1999년 모든게 끝일지 모른다는
두려움에 좌절감 속에 많은
이들 하루 하루를 그냥 보내고
있지만 만 만 모두 마찬가지
하루살이 하루살기 위해 혼신의
힘을 다해 하루 살잖아
우리같이 길 디기리 개리 그 앞에
영풍이 명호 주라미애
수정 그리고 당신우리 같이
해봐요 들어봐 우린 지금
어려운 시대에 대해 논하고
있는거야 실업률 우리나라
급격히 높아만 가고만 있는데
6 25사변 이후 처음이라
모두들 말하는데 난 난 나로서는
어떻게 할 수도 없죠 힘없는
내 자신만 탓하게 되죠 하지만
이것만은 할 수 있을거예요
서로가 서로에게 마음으로 아니
사랑으로 대할 수 있을
거예요 그 모든 슬픔 그 모든
아픔우리는 지금까지
다같이 느껴 왔었죠 이제는
모두 다같이 웃어봐요 서로를
미워 하지 말고 사랑해봐요
그 모든 사랑 우리는 느껴왔었죠
이제는 혼자가 아니라는 것을
우리는 서로가 알 수 있었죠
우리는 다 같은 한민족이라는
것을 TV를 켜면
그 속에 슬퍼하는 사람들이
너무나도 많이 있는 것 같아요
허기진 배를 움켜쥐고 울고
있는 아이들 직장을 잃고 삶의
회의를 느끼시는 아버지들
방황하는 청소년들 그 모든
이들 그리고 사랑을 받지 못한
그 모든 이들 이젠 힘을
내요 서로가 서로에게 무관심이
아닌 우리들의 사랑으로
말이죠 우리 같이 해요 날
따라해요 날 따라해봐요 요렇게
우린 할 수 있죠 우릴 따라해요
날 따라해봐요 요렇게
허니패밀리와 같이 한번 해봐요
요렇게 해봐요 요렇게
우린 같이 할 수 있죠 다같이
할 수 있죠 날 따라 해봐요
요렇게 너와 나의 그 모든 아픔들
지난 시간속에 묻어버리고
이제는 다시 일어나 우리모두
함께 하나가 돼요 오늘
난 봤어 당신의 어깨 축쳐져
힘없이 보인 당신의 어깨 내 눈에
눈물 고여 흐르는 걸 참았던
나 당신 힘든건 저도
이해해요 혼자라는 생각 그런
생각 버리세요 하지만 당신
곁에 항상 우리가 있잖아요 자
당신 다시 한번 생각해봐요
이나라 이 땅을 이만큼까지
이끌어 왔던 주역이었다는
것을요 그 모든 슬픔 그 모든
아픔 우리는 지금까지 다같이
느껴왔었죠 이제는 모두 다같이
웃어봐요 서로를
미워하지 말고 사랑해봐요
그 모든 사랑 우리는
느껴왔었죠 이제는 혼자가
아니라는 것을 우리는 서로를
알 수 있었죠
우리는 다 같은 한민족이라는
것을 이제 거의 끝이 났어
그렇게 길고 길던 어두캄캄한
날들은 다 지나가고 어두운
날은 가고 희망찬 날을 밝혀 줄
해는 지금 막 떠오르고 있어
지금이 중요해 사랑이 필요해
서로를 시기하지 말고
사랑으로 서로를 위해 아낌
없는 사랑이 필요해 그럼
영원히 슬픔은 없을거야 난
믿어 그 모든 것을 우리 같이
해요 날 따라 해요 날
따라 해봐요 요렇게 우린 할 수
있죠 우릴 따라 해요 날
따라해봐요 요렇게
허니패밀리와 같이
한번 해요 요렇게 해봐요
요렇게 우린 같이 할 수 있죠
다같이 할 수 있죠 날 따라
해봐요 요렇게 힘들지만 우리
함께 웃어요 그 모든 슬픔
잊어버리고 이제는 함께 마음을
열고 우리 같이 느낄 수 있어요
너와 나의 그 모든
아픔들 지난 시간속에 묻어버리고
이제는 다시 일어나 우리
모두 함께 하나가 돼요",허니 패밀리,1999.09.02,"1,476",랩/힙합
