제목,가사,가수,발매일,좋아요수,장르
go yard (Feat. Paul Blanco),"go yard i don't need no vacation
올림픽 대로 위로 몰아 내 spaceship
넘 많이 봤어
가짜 부자들의 fake shit
이 자식들은 진짜 못 느끼나 죄의식
let me go back to the basic
soundblaster와 cracked
drum station
나를 환영하지 않았던 이 rap scene
그럴수록 열일했지 불평 대신
솔직히 잊고 살았어 엄마 생신
1년 내내 무대에서 입어 same shit
이젠 매일 pop tags of my 새신
now i'm runnin 2 labels no cj shit
bitch i'm on the top now
이런 놈 봤나 uh
이 rap game 누가 왕 now
국힙 원탑 u just chase thots
너흰 말해 이게 다 쇼미더머니 탓 uh
가짜 금목걸이 산 게 어제 같애
아빠 내년까지 은퇴 시켜야 해
나는 더 이상 거리로 출근 안해
감옥에 있는 내 형제들 미안해
vince carter I’m ballin
can you imagine
if this didn’t happen
you shouldn’t have
switched sides 병신아
날 욕하던 새끼s 어디 갔나
형들도 나를 보면 눈 깔아
어린놈이 건방지다 욕먹곤 했지만
이젠 모두 알아 누가 건방진 건지
이젠 내 앞에서 굽신대네
shit is funny
난 알아 니가 가진 돈이라곤 t money
korean rap god
i don't need no drums now
no fast flows 느리게 해도 넘사
illybition baby hot
like summer time
언제나 클래식을 뱉지 like 성악가
습관이 됐어 너희의 예상을 깨는 게
i won't keep it real
i just keep it fresh yea
nah man 새로운 돈이 아님 안 벌어
또다시 판을 바꿔 고기집 알바처럼
go yard i don't need no vacation
올림픽 대로 위로 몰아 내 spaceship
웬만한 배우보다 괜찮게 생긴
놈이 chevy 광고를 찍고서 swangin
가짜 금목걸이 산 게 어제 같애
아빠 내년까지 은퇴 시켜야 해
나는 더 이상 거리로 출근 안해
감옥에 있는 내 형제들 미안해
vince carter I’m ballin
can you imagine
if this didn’t happen
you shouldn’t have
switched sides 병신아
날 욕하던 새끼s 어디 갔나
형들도 나를 보면 눈 깔아",The Quiett,2018.09.07,"6,516",랩/힙합
MILLION (Feat. Chin),"I just want a million
나는 나를 알아
we really came from nothin’
이젠 너무 지겹 거든 눈물 fallin’
죽은 친구 생각 하니
벌써 아침
I just want a million
나는 나를 믿어
we really came from nothin’
이젠 너무 지겹 거든 눈물 fallin’
죽은 친구 생각 하니
벌써 아침
절대 포기 안해 bitch i go so hard
절대 상관 안해 about fake love
내가 사랑하는 사람들과 길 걸어
열심히 돈 안 벌거면 나한테서 꺼져
지금 새벽 아홉시 그치만 ion stop
내가 꾸는 꿈은 커 I dream large
I do this for me 나를 위해서
갈 거야 멀리 형재들과 to the top
할거야 챙기는 거 brudda’s back
원해 a lot of 돈 and 비싼 pay
매일 먹고 싶어 한우 steak
Fuck 초밥 김치 김밥 먹을래
I just want a million
나는 나를 알아
we really came from nothin’
이젠 너무 지겹 거든 눈물 fallin’
죽은 친구 생각 하니
벌써 아침
I just want a million
나는 나를 믿어
we really came from nothin’
이젠 너무 지겹 거든 눈물 fallin’
죽은 친구 생각 하니
벌써 아침
우린 진짜
까봐 뒷땅
왔어 밑바닥
수준 이하
But 꽂아 깃발
입어 아미리 바지
몸에서 아주 나고 있어 내 기깔
형 우리 걱정말자
어짜피 다 잘될 테니
이 씬은 우리로 인해서 바뀔 테니
이젠 호미들 하나씩 다 자리매김
다 빚쟁이에서 탈출해
우리 차 from 이태리
랩퍼들에게 미안해
난 안가졌어 이해심
다 덤벼 난 가능해
이 대 일 말고 한 육 대 일
I just want a million
나는 나를 알아
we really came from nothin’
이젠 너무 지겹 거든 눈물 fallin’
죽은 친구 생각 하니
벌써 아침
I just want a million
나는 나를 믿어
we really came from nothin’
이젠 너무 지겹 거든 눈물 fallin’
죽은 친구 생각 하니
벌써 아침",LIL GIMCHI,2021.04.16,"3,444",랩/힙합
TOYou…,"네가 사는 집에 인형이 있다면
인형으로 살고 싶어
천둥번개 무서워 나를 껴안아 줘
숨 막혀서 죽고 싶어
네가 나를 머리맡에 두고 잔다 해도
인형으로 살고 싶어
너의 잠버릇은 나만 알아도 돼
간지러워 죽고 싶어
내 친구는 우디 우디
너랑 그림을 그리지
남자를 왜 그리 멋 부려
주위엔 들이며 풀이지
네가 허물처럼 벗어놓은 티
그 상태로 다가와 벌써 나한테
난데없이 돌아오는 법칙
나한테 혹시 뽀뽀해 줄 거니
두 번 경직되어버린 덩치 덩치
흔들리는 네 눈동자에 난 멈칫
You’ve got a friend in me
You’ve got a friend in me
너를 훔쳐봐 너를 훔쳐 가
You’ve got a friend in me
You’ve got a friend in me
너를 훔쳐봐 너를 훔쳐 가
네가 사는 집에 인형이 있다면
인형으로 살고 싶어
천둥번개 무서워 나를 껴안아 줘
숨 막혀서 죽고 싶어
네가 나를 머리맡에 두고 잔다 해도
인형으로 살고 싶어
너의 잠버릇은 나만 알아도 돼
간지러워 죽고 싶어
네가 배달 음식으로
짜장면을 시켰을 땐
국물이 내게 튈 거고
넌 말해 어머 어떡해
침으로 닦아 날
아침에 달아나
침이 달아 달고나야
눈에 하트 달고 나와
매일 밤 너를 봐
자는 모습 겨울왕국
멜빵바지 안에 수족냉증
너의 발은 나를 차
나는 좋아 바로 ㅎ
아 난 못 참아 너를 차지할 거야
네 강아지 할 거야
You’ve got a friend in me
You’ve got a friend in me
너를 훔쳐봐 너를 훔쳐 가
You’ve got a friend in me
You’ve got a friend in me
너를 훔쳐봐 너를 훔쳐 가
이건 나의 토이스토리
말도 안 되는 개소리
이건 나의 토이스토리
말도 안 되는
이건 나의 토이스토리
말도 안 되는 개소리
이건 나의 토이스토리
말도 안 되는",래원 (Layone),2022.11.13,"1,491",랩/힙합
미뤄 (Feat. Jayci yucca(제이씨 유카)),"oh baby come to my life
oh baby 원했던 거
못 해준 내가 미워
너만을 바라봐줄 남자가 필요해 넌
아냐 why not
왜 같이 가자 해
미련하게 밀어
여전히 꿈을 이뤄 난
친구들 나를 믿어
트렁크에다가 다 실어놔
요즘 변하고 있어
이대로 난 못 돌아가
예전 삶을 살고있는
제이씨 유카 시라나이
you know
대체 이런 내가 어디가 좋니
TV에 안 나오는 내가 멋있어 보일
리가 없어 더 떠올리긴 싫어
상천 나을 시간 없어
날 더 가두고 있어
제발 나 좀 데려다줄래
너도 날 볼 때 동공이 커졌지
아마 내가 불쌍해 보였나 봐
전부 미뤄
다른 일은 back
어설픈 나를 믿어
준 너에게 보답해
우는 얼굴 보기 싫어
더는 슬픈 일 없게
내가 만들 수 있게
너가 웃을 수 있게
이게 너가 만든 이슈
내게 너가 필요한 이유
넌 내가 살아가는 이유
내게 하나뿐인 미술
내 하룬 뱅 돌아 미쳐
나를 감당할 수 있어
난 가진 것도 없어
하지만 넌 알고 있어
so I need you
but 너를 떠나게 한 이유
그래 나는 정말
힘든 척 안 하고 웃을 수 있어
하지만 넌 알고 있어
나 힘든 거 난 버틸 수 없어
oh baby come to my life
oh baby 원했던 거
못 해준 내가 미워
너만을 바라봐줄 남자가 필요해 넌
아냐 why not 같이 가자 해
전부 미뤄
다른 일은 back
어설픈 나를 믿어
준 너에게 보답해
우는 얼굴 보기 싫어
더는 슬픈 일 없게
내가 만들 수 있게
너가 웃을 수 있게
이게 너가 만든 이슈
내게 너가 필요한 이유
넌 내가 살아가는 이유
내게 하나뿐인 미술",뎁트,2019.09.10,"3,246","랩/힙합, 인디음악"
Breathe again (prod. TOIL),"누구나 다 알아
우리가 모두 숨을 쉬는 것
당연하다 말하는 날 보며
웃음 짓는 너
보이지 않아 내 곁을 맴돌았던 너
이제야 알 것 같아
희미하게 바라봐
나도 모르게 너의 팔을 잡았지
그 순간을 기억해 나는 깨달았지
머릴 헝클어 거세게 부는 바람이
We grow up 적응하는 거야 하나씩
어지러운 일 하나도 없는 곳에서
바다밖에 전혀 안 보이는 곳에서
뛰어들고 파 멀리에 있는 저 해로
들이마셔 숨을 크게 다시 또 뱉어
누구나 다 알아
우리가 모두 숨을 쉬는 것
당연하다 말하는 날 보며
웃음 짓는 너
보이지 않아 내 곁을 맴돌았던 너
이제야 알 것 같아
희미하게 바라봐
Woo wah Woo wah
Woo wah Woo wah
Woo wah Woo wah
Woo wah Woo wah
I breathe again
난 다시 숨 쉬어 blow up blow up
I do it again
난 다시 꿈꿔 That’s no That’s no
바꾸려 해 이곳의 풍경
이제야 알 것 같아
너의 두 눈을 바라봐
Oh yeah
더 밝은 내일로 yeah
Oh yeah
저 다음 세계로 yeah
Oh 왜
넘어갔으면 해
Oh 왜
여긴 너무 뻔해
또 한 번 do it again
넌 대체 비웃어 왜
Plz baby Go away
여길 바꾸려 해
어서 빨리 다음 장을 넘겨
죽지 않은 뿌리들이 서로 엉켜
조용해진 파도가 내게로 점점
다가오고 파도를 향해 등을 져 난 먼저
보이지 않아 내 곁을 맴돌았던 너
이제야 알 거 같아
희미하게 바라봐
Woo wah Woo wah
Woo wah Woo wah
Woo wah Woo wah
Woo wah Woo wah
I breathe again
난 다시 숨 쉬어 blow up blow up
I do it again
난 다시 꿈꿔 That’s no That’s no
바꾸려 해 이곳의 풍경
이제야 알 것 같아
너의 두 눈을 바라봐
보이지 않아 내 곁을 맴돌았던 너
이제야 알 것 같아
희미하게 바라봐",유토 (JUTO),2020.11.27,0,"랩/힙합, 인디음악"
어떤,"어떤 생각은 멈출 수가 없어
너를 가져도 너를 계속 떠올려
어떤 것도 이걸 멈출 수 없어
너를 지키는 법을 알려줘
어떤 생각은 멈출 수가 없어
너를 가져도 너를 계속 떠올려
어떤 것도 이걸 멈출 수 없어
너를 지키는 법을 알려줘
신이 더 전능해졌지
너의 비밀이 선물 같았으니
이제 이걸 위해 뭘 할지
아니 대체 뭘 할 수 없을지
어쩌려고 불렀어 나를 넌
어떻게든 이렇게 됐을 건가
유치한 말들이 막 떠올라
우상이 될까 봐 어려워
데려가 줘 내일
너가 왔던 데에
그 때랑 다른 죄를
더 지어 나랑 이번엔
버려 걍 쟤넨
시선을 낭비해
내걸 전부 뺏어줘
갈 데도 없어지게
헤어 나오지 못해
너의 상상 속에 빠져
헤엄치고 있는데",C JAMM,2022.03.03,"3,353",랩/힙합
PEP (Feat. 정상수) (Prod. Padi),"PEP
섹시한 대머리
If you don’t know now you know
I’m the hottest on the 송도 block
새 닉네임 = 섹시한 대머리
코스튬을 입은 너희 테스토스테론들을
사재기한 다음 트랙 위에 뿌리지
like PEP 확실한 이 빌드업
내 옆엔 탈모인의 레전드
no cap 만수르보다 더 기름칠해놓은
사운드 우린 2 sexy 4 your 에어팟
new 스톤 콜드 스티브 오스틴
DJ Koo 빈 디젤 존 맥클레인 또
부스케츠 안드레스 이니에스타의
티키타카보다 촘촘해지는 flow
break down 한달에 반을
메이크업하는 래퍼 오빠
난 뺐지 걔네의 아보다트
you already know halftime
넌 조기축구 여긴 챔스레벨
차는곳이 애초에 달라
감춰봤자 난 다 보여
너의 벌스보다 많은 셀카
머린 3mm I can show you how I did it
우린 442 맨앞의 투톱 now kick it
골프채
비트에다 홀인원
공이 많이 쌓여 있는 bank account
한길만 파도 될까 말까 한데
신기하게 보여 래퍼들의 사업 확장
한 곡 갑들은 무리수 두다
깡통 차고 강제 거리두기 당하는
인간미 없는 거지같은 바닥에서
돈 냄새 풍기면 코 베어가
natural born killer 나의 애티튜드
스톤의 우디 해럴슨
벌스 하나면 니들 앨범채로
학살해버려 무패 전승
천만 탈모인 H O P E
빠지는 게 없어 너의 해돋이지
3밀리 머리 not not for doping test
3대에 걸친 내 아픈 DNA
도사 진짜 고수들은 숨어 살아 지하벙커
과르디올라 패스 패스
티키타카 승점 추가하지
팀플레이 보이비 정상수 명사수와
잠시 쉬었다 영점 맞춰와 탁 치게 부활
PEP
섹시한 대머리
If you don’t know now you know
아버지께로부터 물려받은
자랑스런 모발 유전자
헤어스타일만큼이나
시원시원한 성격 또한 부전자전
머리카락 개수는 얼마 없지만
하늘을 향해 솟구쳐 오르는 드높은 기상
불멸의 전사 원대한 포부를 가진
대한의 건아
모는 약간 모자랄지라도
거세게 몰아치는 랩 토네이도
기세 좋게 떡상중인
나의 미친 존재감은 핫 포테이토
랩 파쿠르 장애물을 뛰어넘는
13구역의 라이토
노래 부르다가 급발진하고
다시 잠잠해지는 랩 사이코
PEP
섹시한 대머리
If you don’t know now you know",보이비,2022.03.13,"2,037",랩/힙합
Addicted2,"담배 내 밥그릇을 비우면 보이는
여든은 물론
무덤으로 인도하는 poison
girls girls girls
이만한 toy들이 없지 말해봐 또 있음
simpson prison break entourage
새벽을 지나 아침까지 가뿐하지
internet web surfing
어머니 젖도 못땐
갓난 아기들도 타고났지
thank god cuz he gave us porno
내 왼쪽손은 numera uno
no doubt for the money
내 마음은 영원해
내가 바람을 피면 돈이 내 세컨해
할렐루야 할렐루 할렐루
할렐 할렐루야
치만 더 짧아 티는 더 파여 baby
i know that youre busy
on ya diet baby
i'm addicted i'm always
u addicted u always
she addicted he addicted
we addicted yeah we know it
i'm addicted i'm always
u addicted u always
she addicted he addicted
we addicted yeah we know it
24 hours 그는 workaholic
통장과는 반비례인 몸관리
술 배는 절대 못 빼
여전히 홀짝 그는 alcoholic
가로수길은 오늘도 빽빽해
키 높인 그녀들은
still popin' tags and
my cell phone's
ringing like brr brr
굳은 살 박힌 엄지로 tap tap
밤이 되면 바빠
party like a rockstar
클럽에 오면 내게 말해 que basa
epl la liga nba 때매
또 오늘밤은 잠 다 잤어
hop on my itunes 들어도 들어도
카페인 같은 노래들을 또 부르고
온갖 것들에 난 목 매
i'm addicted to the 뭐
i'm addicted i'm always u
addicted u always
she addicted he addicted
we addicted yeah we know it
i'm addicted i'm always u
addicted u always
she addicted he addicted
we addicted yeah we know it
i'm addicted to the 뭐
u addicted to the 뭐
she addicted to the 뭐
he addicted to the 뭐
i'm addicted to the 뭐
u addicted to the 뭐
she addicted to the 뭐
he addicted to the 뭐
i'm addicted to the 뭐
u addicted to the 뭐
she addicted to the 뭐
he addicted to the 뭐
i'm addicted to the 뭐
u addicted to the 뭐
she addicted to the 뭐
he addicted to the 뭐
i'm addicted i'm always
u addicted u always
she addicted he addicted
we addicted yeah we know it
i'm addicted i'm always
u addicted u always
she addicted he addicted
we addicted yeah we know it
i'm addicted i'm always
u addicted u always
she addicted he addicted
we addicted yeah we know it
i'm addicted i'm always
u addicted u always
she addicted he addicted
we addicted yeah we know it",Jazzyfact,2010.10.26,"8,267",랩/힙합
Itachi Mode,"I can’t goto sleep less
I’m off can
RIP to trust 97 man
How the fuck you know me
when my momma don’t
Get you cutty open
like a cantaloupe
2 peas in a pod just me and my 9
I need money lots
can’t fit parking lots
No I cannot stop
til I see you drop
My brothers is gone
I ain’t scared to die
Jheez bitch I pull-up finesse
and cut
Bitch we them yungins
from the block
Jheez bitch I put 5 grams in a
Smoking backwoods by the cart
Run the money split
the profit with my mans
Bitch its 2019 the fuck
we don’t use no hands
Ball for Moe these shoes
right here cost me 2 bands
Yg load the gat
and do his fucking dance",Paul Blanco,2019.04.17,"8,146","랩/힙합, 인디음악"
"불이 꺼진 뒤 (feat. Holynn, Gist)","어떻게 모든 너와의
기억하나 빠짐없이
좋을 수만 있겠어 그래도
정을 떼려 나쁜 추억을 찾으려
노력할 땐 잘 안돼
여전히 맘 같지가 않고
너에 대해선 언제나 그랬어
I’m new to be someone
that used to loved you girl
어리석다는 말이 지금
내 모습과 딱 맞지
허공만 봐 미련만 남은 듯이
이 불이 꺼진 뒤에 재뿐임을 알기에
눈 감을 수 없어
이미 정해진 결말이
현실로 다가올 때 즈음
난 어떻게 해야 할까
I don’t know 이 불이 꺼진 뒤에
know 이별은 누굴 위해
나중 생각을 미리
하지 말란 말의 의미를
알겠지만 난 이미
이젠 소중해져 버렸어
그 사소한 너의 event까지
내가 살아가는 이유를
갖게 해 준 너를
아직 보내지 못해서
난 바보야 맞지
근데 말처럼 쉽겠어
이 전부를 다 안고
처음으로 돌아가도
난 너를 만나겠어
하필 왜 너와의 엔딩인지
이 불이 꺼진 뒤에
재뿐임을 알기에
눈 감을 수 없어
이미 정해진 결말이
현실로 다가올 때 즈음
난 어떻게 해야 할까
I don’t know 이 불이 꺼진 뒤에
know 이별은 누굴 위해
Oh oh oh ye ye
이 불이 꺼진 뒤에
Oh oh oh ye ye
이별은 누굴 위해",Minit,2022.06.11,"1,193",랩/힙합
AME GA FURU (비가내려) (Feat. J;KEY),"전화할게
그래 이 비가 그친다면
바로 전화할게
그래 이 비가 그친다면
AME GA FURU ZUTTO
AME GA FURU
만약 이 비가 그친다면
OH YEAH 널 만나러 갈게
OH YEAH 널 만나러 갈게
만약 이 비가 그친다면
TOKYO는 비가 내리고
yeah 빌린 카메라 위를
빗방울이 덮쳐대고 있어
korewa Taihenda
정말 큰 일이야
시간도 많이 없는데
뭐 어떡해 일단 쉬어야지 뭐
어디든 들어가 있어야지 뭐
잠깐 hand phone을 꺼내서
SNS를 켜보면
yeah Ganbare Ganbare
fan들의 말들이
나를 부르는 소리가 들려
앨범 날만 기다려
날 바라보고 있다며
사람들 한국에서 나를 기다려
그 만큼 나도 열심히야
잠깐 비가 내려서 멈춰있대도
한국에서 날 기다려 J KEY형 또
KINGdumbs 형제들과
NEOKIDZ또
요즘 꽤 많이 생긴
D-Hack의 FAN들
그 전부를 위해 난 잘될 거니까
아마 난 SUPERSTAR가 될 거니까
AME GA FURU ZUTTO
AME GA FURU
만약 이 비가 그친다면
OH YEAH 널 만나러 갈게
OH YEAH 널 만나러 갈게
만약 이 비가 그친다면
내 창 밖에도 비가 내려
it is about 2 years
두려움은 당연히 날 가두지
Where's my friends at
where's my fams at
사실은 다 알아 문을 열고
저 멀리 제 길로 떠나간 걸
but i'm still at home
창 밖으로 빼꼼히
내밀어봤지 내 발
비에 젖는 느낌은 개같아
지레 겁먹고 탭 쳤지
몇 년간을 매번
이렇게 주춤대며 낭비했지만
이젠 해야돼 벌이
디핵은 일본으로 떠났지
다른 바보들은 뭐하지
동욱이는 몰아 모하비
YTC는 몸값 올랐지
몰라 shit now I got the key
굳게 닫혀있던 문을 따지
빗 속에서 난 춤을 출거고
이제 필요없지 우산이
꽤 기나긴 장마 속에
내 발목은 단단히 묶여있고
내 음악을 들어주던 이들은
이제 다른 곳에 떠나있어
하지만 아직까지 많아
내 성공을 바라는 이들
dummy & thuggie
my buddy my homie
내 여자 곧 갚아 그 믿음
AME GA FURU ZUTTO
AME GA FURU
만약 이 비가 그친다면
OH YEAH 널 만나러 갈게
OH YEAH 널 만나러 갈게
만약 이 비가 그친다면
AME GA FURU ZUTTO
AME GA FURU
만약 이 비가 그친다면
OH YEAH 널 만나러 갈게
OH YEAH 널 만나러 갈게
만약 이 비가 그친다면",디핵 (D-Hack),2018.07.27,"4,878","랩/힙합, 인디음악"
CAVIAR,"I got caviar and champagne
난 영원한 비쉬
yeah I got expensive taste
뱉어 버려 lit
뱉어 버려 on this beat
나는 별들 속의 비쉬
나는 안가 거기 절대 누가 오래도
따분한 이야기 다들 같은 노래 또
truffles on my fries
뿌려 누가 뭐래도
어디 안가 어제 오늘 내일 모래도
나와 상관 없는 일들 내게 상관없
다들 각자 하던 일들 잘들 하라고
VVS infinite flawless
That’s a princess cut
bling bling chandelier
Got em in the cut
I got caviar and champagne
난 영원한 비쉬
yeah I got expensive taste
뱉어 버려 lit
뱉어 버려 on this beat
나는 별들 속의 비쉬
I got caviar and champagne
난 영원한 비쉬
yeah I got expensive taste
뱉어 버려 lit
뱉어 버려 on this beat
나는 별들 속의 비쉬
채린이와 함께라면 여긴 level up
말해 뭐해 입만 아퍼
Lookin fabulous
Flashing lights yeah
I gotta get my ice on
내가 나타나면 다들 바로 다 뒤집어져
표정 태도 까리
내가 어찌 하리
머리 발끝 까지
Drip it drop cherry droppin'
Welcome to my party
yeah you know I got it
필요 없지 말이
keep it unnie 그게 나지
I got caviar and champagne
난 영원한 비쉬
yeah I got expensive taste
뱉어 버려 lit
뱉어 버려 on this beat
나는 별들 속의 비쉬
I got caviar and champagne
난 영원한 비쉬
yeah I got expensive taste
뱉어 버려 lit
뱉어 버려 on this beat
나는 별들 속의 비쉬
SEOUL CITY BUZZIN
빨리 빨리 BUZZIN
BUSY BUSY BUZZIN
GZB들 BUZZIN
SEOUL CITY BUZZIN
빨리 빨리 BUZZIN
BUSY BUSY BUZZIN
GZB들 BUZZIN
I got caviar and champagne
난 영원한 비쉬
yeah I got expensive taste
뱉어 버려 lit
뱉어 버려 on this beat
나는 별들 속의 비쉬",코카앤버터 (CocaNButter),2021.10.27,"3,046",랩/힙합
"24시 (Feat. Chin, 스카프 (SC4F) & 마디 (MADII))","내 선택은 옳았지 언제나 어서
지금 봐 모두 나에게 말해 저놈 벌써
끝이 안 보여도 무조건 있거든 터널
지금 아프더라도 이걸 어쨌거나 적어
난 여기 24시
이걸 해 올라왔지 일찌감치
난 여기 24시
이걸 해 올라왔지 일찌감치
마지막이라 생각 Now it's my time
기억해 There's no two time
진짜로 Now it's my time
기억해 There's no two time


기다리며 준비해 My time
디딜 곳을 바라보며 도움닫기
어쩌면 이건 맨땅에 곤두박질
다음은 없거든 내겐 No two time yeah
여전히 어두워 In my shadow
바뀌지 않아 변한 날씨여도
갈 길이 멀어 나는 또 밤새워
그깟 힙합이 대체
어케 너를 밥 맥여주냐
묻던 놈들을 떠나보낸 뒤
나 혼자 Ball out
내겐 없어 Burn out
곧 내 앨범들은 Sold out
말한 대로 이뤄지는 기분 귀신같지
그래서 Need Rolls-Royce Phantom yeah
너도 알다시피 우리 출신은
다 From the 개털 Yeah


내 선택은 옳았지 언제나 어서
지금 봐 모두 나에게 말해 저놈 벌써
끝이 안 보여도 무조건 있거든 터널
지금 아프더라도 이걸 어쨌거나 적어
난 여기 24시
이걸 해 올라왔지 일찌감치
난 여기 24시
이걸 해 올라왔지 일찌감치
마지막이라 생각


항상 집중하지 Like 젠가
여제껏 가사를 써 내려가며 지 세운 밤
매일 새로운 아이디어로 머릴 채운 다음
성공을 위한 우린 태도 이걸 배운다
비겁하게 뜯지 않아 삥
믿음 없이 뺏거나 뺏기는 너넨 Loser
목숨을 걸었지 우린 팀
악재가 몰려와도 서로를 지켜주는 부적
선택이 다신 틀리지 않기를 나는 빌어
하나같이 돈에 눈이 멀어 태도가 다 비겁
미워하지 않아 모두 잘 되기를 기도해
내 리더 내 식구들의 성공을 나는 믿어
알바로 연명하던 시절을 Rewind
멈추지 않고 내딛은 걸음 24시
돈이 없어 비굴했던 설움 Remind
의심하지 않지 내 성공을 믿어


내 선택은 옳았지 언제나 어서
지금 봐 모두 나에게 말해 저놈 벌써
끝이 안 보여도 무조건 있거든 터널
지금 아프더라도 이걸 어쨌거나 적어
난 여기 24시
이걸 해 올라왔지 일찌감치
난 여기 24시
이걸 해 올라왔지 일찌감치
마지막이라 생각 Now it's my time
기억해 There's no two time
진짜로 Now it's my time
기억해 There's no two time",Way Ched (웨이체드),2022.01.11,"2,590",랩/힙합
Base Line,"내 음악의 Base Line
내 몸짓의 Base Line
내 삶 속의 Base Line
내 성공의 Base Line
Base Line
지금부터 Base Time
느껴지는 Base 차이
When you see my Base Line

내 세상에 있어
본질은 늘 깨어 있어
왜 증오를 입력해
I don’t need your hate code
They say, base on
근거 없는 채점
그들에게 뱉어
Hope World, Base Line

Street dance
10년에
육체 리듬으로 잘 다듬어진 rap
현 네임택
Top class
But 아직도 피 끓는 life plan
간절해
내 음악의 꿈이 아직 남아 있기에
열일해
매일 매일
내 직업에 감사함이 나의 본 base

내 수저로 다 떠먹어 버려
유비무환 나이기에 걱정은 없어
Base Line 내 성과의 원천
Hope World 이제 모든 세상을 엎어

누구보다 열심히 했기에 데뷔해
덜 자고 더 해서 됐기에, 날 위해
영화 같은 인생의 main base, mainstay
정신 못 차린 애들 다, playback

Base Line
내 음악의 Base Line
내 몸짓의 Base Line
내 성공의 Base Line
Base Line
지금부터 Base Time
느껴지는 Base 차이

WATCH THE BASE LINE",j-hope,2018.03.02,"5,140",랩/힙합
날씨도 좋은데 (With 임동현),"날씨도 좋은데
이게 뭐야
오늘 그대와
어디론가 난
떠나고 싶은데
날씨도 좋은데
이게 뭐야
사랑스런 그대와
떠날래
하얗게 바람 부는날
회사 건물안에서
보기만 했지 벗꽃
겨울이 끝나
두꺼운 점퍼을 벗고
가벼운 옷관 다르게
삶은 무겁고
매일 거울속 지쳐가는
내 모습 무섭고
상사 눈치 때문에
퇴근도 잘 못해
힘들다고 습관처럼
자기 바뻐 주말엔
미안해
날 풀리면 가자던
소풍도
못가고 매일 핑계로
계속 난 물음표
날씨도 좋은데
이게 뭐야
오늘 그대와
어디론가 난
떠나고 싶은데
날씨도 좋은데
이게 뭐야
사랑스런 그대와
떠날래
하얗게 바람 부는날
나나 나나 나나나
나나 나나 나나나
눈은 녹았지만
맘은 얼어붙은 겨울
찌든 일상
그저 버티기 바뻐
겨우
악착같이 매달려
보지만 버겁고
슬픈데 떨어지는
모습 조차
이쁜 벗꽃
나른한 오후
졸던 잠을깨
늘 바쁘단 핑계로
잠궈놨던 봄의 자물쇠
기지개를 펴고
열어봐
모든게 아늑해
오늘 만큼은
이 햇살에
날 전부 맡길래
날씨도 좋은데
이게 뭐야
오늘 그대와
어디론가 난
떠나고 싶은데
날씨도 좋은데
이게 뭐야
사랑스런 그대와
떠날래
하얗게 바람 부는날
그대와 함께
이길을 걸어요
혹시나 놓칠까
잡은 손 꼭 잡고
조금 느린 그대의
발걸음 맞춰요
오늘 처럼 절대
이손 놓지 마요
꽃들이 흩어지고
하얗게 물들때
그대 손 잡고
어디든 떠나요
날씨도 좋은데
이게 뭐야
오늘 그대와
어디론가 난
떠나고 싶은데
날씨도 좋은데
이게 뭐야
사랑스런 그대와
떠날래
하얗게 바람 부는날
나나 나나 나나나
나나 나나 나나나",타코앤제이형,2013.04.25,"7,276","랩/힙합, 인디음악"
